T,K,Type,Spread,Market,Model,Err,IV_Mkt,IV_Model
0.0414,5400.0,PUT,0.35,1.475,4.4326,2.9576,0.4868,0.5629
0.0414,6175.0,PUT,0.7,7.15,6.6711,-0.4789,0.3067,0.3026
0.0414,6550.0,PUT,0.8,26.6,27.1828,0.5828,0.2355,0.2373
0.0414,6690.0,PUT,0.9,45.85,46.7658,0.9158,0.2086,0.2107
0.0441,5800.0,PUT,0.7,3.45,3.5919,0.1419,0.3874,0.3897
0.0441,6250.0,PUT,0.9,10.35,9.7902,-0.5598,0.291,0.2876
0.0441,6600.0,PUT,0.9,35.15,35.3519,0.2019,0.2267,0.2272
0.0441,7020.0,CALL,0.9,21.95,25.9194,3.9694,0.1257,0.1349
0.0469,5975.0,PUT,0.7,5.95,5.0154,-0.9346,0.3484,0.3384
0.0469,6350.0,PUT,0.8,16.6,15.4728,-1.1272,0.2744,0.2695
0.0469,6660.0,PUT,1.2,48.0,46.56,-1.44,0.218,0.2149
0.0469,7125.0,CALL,0.5,4.85,7.8683,3.0183,0.1104,0.124
0.0496,6100.0,PUT,0.8,9.1,7.6867,-1.4133,0.3213,0.3109
0.0496,6475.0,PUT,0.9,27.65,25.9616,-1.6884,0.2527,0.2476
0.0496,6725.0,PUT,1.3,63.65,61.0398,-2.6102,0.2059,0.201
0.0516,5325.0,PUT,0.4,2.2,5.1099,2.9099,0.4821,0.5413
0.0516,5560.0,PUT,0.6,3.4,4.2827,0.8827,0.4341,0.4489
0.0516,5680.0,PUT,0.6,4.0,4.228,0.228,0.4053,0.4087
0.0516,5810.0,PUT,0.6,5.1,4.6025,-0.4975,0.3777,0.3716
0.0516,5940.0,PUT,0.7,7.05,5.6372,-1.4128,0.3543,0.3408
0.0516,6070.0,PUT,0.7,9.45,7.6595,-1.7905,0.3281,0.315
0.0516,6185.0,PUT,0.8,12.7,10.6643,-2.0357,0.3063,0.2948
0.0516,6260.0,PUT,1.0,14.9,13.4788,-1.4212,0.2892,0.2824
0.0516,6335.0,PUT,0.9,18.55,17.1796,-1.3704,0.2756,0.2701
0.0516,6415.0,PUT,1.2,23.8,22.3671,-1.4329,0.2617,0.257
0.0516,6490.0,PUT,1.2,30.2,28.7047,-1.4953,0.2485,0.2443
0.0516,6565.0,PUT,0.9,39.85,36.8536,-2.9964,0.2384,0.2312
0.0516,6640.0,PUT,1.4,49.2,47.3012,-1.8988,0.2213,0.2173
0.0516,6715.0,PUT,1.1,64.35,60.6988,-3.6512,0.2093,0.2025
0.0516,7070.0,CALL,1.2,16.3,17.8881,1.5881,0.1235,0.1276
0.0516,7145.0,CALL,0.8,4.9,7.4865,2.5865,0.1114,0.1231
0.0606,5800.0,PUT,0.8,6.0,5.9898,-0.0102,0.3617,0.3616
0.0606,6325.0,PUT,1.0,20.8,21.262,0.462,0.2668,0.2684
0.0606,6720.0,PUT,1.2,68.4,68.9342,0.5342,0.1983,0.1992
0.0633,5900.0,PUT,0.6,8.0,7.7058,-0.2942,0.3406,0.3383
0.0633,6450.0,PUT,1.0,32.0,32.4465,0.4465,0.2461,0.2472
0.0633,7075.0,CALL,1.1,20.35,22.8898,2.5398,0.1217,0.1272
0.066,6025.0,PUT,1.0,11.5,10.9669,-0.5331,0.3172,0.3142
0.066,6500.0,PUT,1.2,39.2,39.2302,0.0302,0.2379,0.238
0.066,7150.0,CALL,0.9,8.05,11.3733,3.3233,0.1113,0.1221
0.0688,6300.0,PUT,1.0,24.1,23.7972,-0.3028,0.2703,0.2694
0.0688,6725.0,PUT,1.4,77.1,76.0643,-1.0357,0.198,0.1964
0.0715,5450.0,PUT,0.4,4.8,6.0146,1.2146,0.4204,0.4352
0.0715,6050.0,PUT,0.8,14.1,13.4186,-0.6814,0.3107,0.3073
0.0715,6350.0,PUT,1.0,29.1,28.6461,-0.4539,0.2619,0.2606
0.0715,6475.0,PUT,1.2,40.4,39.8811,-0.5189,0.2417,0.2406
0.0715,6600.0,PUT,1.3,56.45,55.6681,-0.7819,0.2206,0.2192
0.0715,6725.0,PUT,1.3,79.15,77.9971,-1.1529,0.1976,0.1959
0.0715,7125.0,CALL,0.7,14.85,16.7954,1.9454,0.1184,0.1231
0.0797,6000.0,PUT,0.9,13.95,14.4593,0.5093,0.3091,0.3115
0.0797,6675.0,PUT,1.3,71.95,73.5742,1.6242,0.2013,0.2037
0.0825,4950.0,PUT,0.45,2.775,8.3462,5.5712,0.4929,0.5761
0.0825,5190.0,PUT,0.7,3.85,7.2142,3.3642,0.4485,0.4922
0.0825,5270.0,PUT,0.6,4.3,7.0409,2.7409,0.4338,0.4672
0.0825,5360.0,PUT,0.7,4.95,7.0,2.05,0.4181,0.4411
