T,K,Type,Spread,Market,Model,Err,IV_Mkt,IV_Model
0.0414,5400.0,PUT,0.35,1.475,4.5392,3.0642,0.4869,0.565
0.0414,6175.0,PUT,0.7,7.15,6.9051,-0.2449,0.3067,0.3047
0.0414,6550.0,PUT,0.8,26.6,25.5811,-1.0189,0.2356,0.2325
0.0414,6690.0,PUT,0.9,45.85,44.1528,-1.6972,0.2087,0.2049
0.0441,5800.0,PUT,0.7,3.45,3.6155,0.1655,0.3875,0.3902
0.0441,6250.0,PUT,0.9,10.35,9.6514,-0.6986,0.2911,0.2868
0.0441,6600.0,PUT,0.9,35.15,33.3858,-1.7642,0.2268,0.2222
0.0441,7020.0,CALL,0.9,21.95,23.82,1.87,0.1257,0.1301
0.0469,5975.0,PUT,0.7,5.95,4.8734,-1.0766,0.3485,0.3369
0.0469,6350.0,PUT,0.8,16.6,14.8028,-1.7972,0.2745,0.2666
0.0469,6660.0,PUT,1.2,48.0,44.4316,-3.5684,0.2181,0.2103
0.0469,7125.0,CALL,0.5,4.85,5.9215,1.0715,0.1104,0.1156
0.0496,6100.0,PUT,0.8,9.1,7.2635,-1.8365,0.3213,0.3076
0.0496,6475.0,PUT,0.9,27.65,24.6452,-3.0048,0.2527,0.2436
0.0496,6725.0,PUT,1.3,63.65,59.0911,-4.5589,0.2059,0.1974
0.0516,5325.0,PUT,0.4,2.2,5.1,2.9,0.4822,0.5413
0.0516,5560.0,PUT,0.6,3.4,4.1001,0.7001,0.4342,0.4461
0.0516,5680.0,PUT,0.6,4.0,3.9429,-0.0571,0.4054,0.4046
0.0516,5810.0,PUT,0.6,5.1,4.2098,-0.8902,0.3778,0.3665
0.0516,5940.0,PUT,0.7,7.05,5.1515,-1.8985,0.3544,0.3357
0.0516,6070.0,PUT,0.7,9.45,7.086,-2.364,0.3282,0.3105
0.0516,6185.0,PUT,0.8,12.7,9.9819,-2.7181,0.3064,0.2908
0.0516,6260.0,PUT,1.0,14.9,12.6854,-2.2146,0.2892,0.2785
0.0516,6335.0,PUT,0.9,18.55,16.2298,-2.3202,0.2757,0.2663
0.0516,6415.0,PUT,1.2,23.8,21.1981,-2.6019,0.2618,0.253
0.0516,6490.0,PUT,1.2,30.2,27.2981,-2.9019,0.2486,0.2404
0.0516,6565.0,PUT,0.9,39.85,35.2211,-4.6289,0.2384,0.2273
0.0516,6640.0,PUT,1.4,49.2,45.5236,-3.6764,0.2213,0.2136
0.0516,6715.0,PUT,1.1,64.35,58.94,-5.41,0.2093,0.1993
