T,K,Type,Spread,Market,Model,Err,IV_Mkt,IV_Model
0.0414,5400.0,PUT,0.35,1.475,4.3739,2.8989,0.4869,0.5619
0.0414,6175.0,PUT,0.7,7.15,1.8967,-5.2533,0.3067,0.2461
0.0414,6550.0,PUT,0.8,26.6,11.9326,-14.6674,0.2356,0.1845
0.0414,6690.0,PUT,0.9,45.85,28.6054,-17.2446,0.2087,0.1684
0.0441,5800.0,PUT,0.7,3.45,2.3859,-1.0641,0.3875,0.3676
0.0441,6250.0,PUT,0.9,10.35,2.6542,-7.6958,0.2911,0.2264
0.0441,6600.0,PUT,0.9,35.15,17.9346,-17.2154,0.2268,0.1784
0.0441,7020.0,CALL,0.9,21.95,26.9449,4.9949,0.1257,0.1373
0.0469,5975.0,PUT,0.7,5.95,1.9922,-3.9578,0.3485,0.2942
0.0469,6350.0,PUT,0.8,16.6,4.7662,-11.8338,0.2745,0.2087
0.0469,6660.0,PUT,1.2,48.0,27.5062,-20.4938,0.2181,0.1714
0.0469,7125.0,CALL,0.5,4.85,11.0161,6.1661,0.1104,0.1359
0.0496,6100.0,PUT,0.8,9.1,2.2393,-6.8607,0.3213,0.2533
0.0496,6475.0,PUT,0.9,27.65,10.5092,-17.1408,0.2527,0.1922
0.0496,6725.0,PUT,1.3,63.65,41.6528,-21.9972,0.2059,0.1638
0.0516,5325.0,PUT,0.4,2.2,4.8845,2.6845,0.4822,0.5378
0.0516,5560.0,PUT,0.6,3.4,3.5074,0.1074,0.4342,0.4361
0.0516,5680.0,PUT,0.6,4.0,2.9389,-1.0611,0.4054,0.3877
0.0516,5810.0,PUT,0.6,5.1,2.458,-2.642,0.3778,0.3387
0.0516,5940.0,PUT,0.7,7.05,2.187,-4.863,0.3544,0.2947
0.0516,6070.0,PUT,0.7,9.45,2.2837,-7.1663,0.3282,0.258
0.0516,6185.0,PUT,0.8,12.7,2.9431,-9.7569,0.3064,0.233
0.0516,6260.0,PUT,1.0,14.9,3.879,-11.021,0.2892,0.2201
0.0516,6335.0,PUT,0.9,18.55,5.4527,-13.0973,0.2757,0.2092
0.0516,6415.0,PUT,1.2,23.8,8.1892,-15.6108,0.2618,0.199
0.0516,6490.0,PUT,1.2,30.2,12.2312,-17.9688,0.2486,0.1902
0.0516,6565.0,PUT,0.9,39.85,18.371,-21.479,0.2384,0.1817
0.0516,6640.0,PUT,1.4,49.2,27.5205,-21.6795,0.2213,0.1732
0.0516,6715.0,PUT,1.1,64.35,40.9137,-23.4363,0.2093,0.1648
0.0516,7070.0,CALL,1.2,16.3,21.0424,4.7424,0.1236,0.1354
0.0516,7145.0,CALL,0.8,4.9,10.8629,5.9629,0.1114,0.1357
0.0605,5800.0,PUT,0.8,6.0,2.6828,-3.3172,0.3618,0.3198
0.0605,6325.0,PUT,1.0,20.8,7.2853,-13.5147,0.2668,0.2083
0.0605,6720.0,PUT,1.2,68.4,48.132,-20.268,0.1983,0.1635
0.0633,5900.0,PUT,0.6,8.0,2.676,-5.324,0.3406,0.2853
0.0633,6450.0,PUT,1.0,32.0,14.1448,-17.8552,0.2461,0.1933
0.0633,7075.0,CALL,1.1,20.35,26.415,6.065,0.1217,0.1345
0.066,6025.0,PUT,1.0,11.5,3.2001,-8.2999,0.3173,0.2528
0.066,6500.0,PUT,1.2,39.2,19.0714,-20.1286,0.238,0.1875
0.066,7150.0,CALL,0.9,8.05,15.8558,7.8058,0.1113,0.1346
0.0688,6300.0,PUT,1.0,24.1,8.453,-15.647,0.2704,0.2097
0.0688,6725.0,PUT,1.4,77.1,54.5111,-22.5889,0.198,0.1623
0.0715,5450.0,PUT,0.4,4.8,4.2485,-0.5515,0.4204,0.4129
0.0715,6050.0,PUT,0.8,14.1,3.9138,-10.1862,0.3107,0.2444
0.0715,6350.0,PUT,1.0,29.1,11.2373,-17.8627,0.2619,0.2035
0.0715,6475.0,PUT,1.2,40.4,19.2108,-21.1892,0.2417,0.1897
0.0715,6600.0,PUT,1.3,56.45,32.9877,-23.4623,0.2206,0.1761
0.0715,6725.0,PUT,1.3,79.15,56.1768,-22.9732,0.1976,0.1621
0.0715,7125.0,CALL,0.7,14.85,21.5417,6.6917,0.1184,0.1339
0.0797,6000.0,PUT,0.9,13.95,4.3168,-9.6332,0.3091,0.2484
0.0797,6675.0,PUT,1.3,71.95,50.0509,-21.8991,0.2013,0.1671
0.0824,4950.0,PUT,0.45,2.775,7.8377,5.0627,0.4929,0.5706
0.0824,5190.0,PUT,0.7,3.85,5.9577,2.1077,0.4486,0.4779
