T,K,Type,Spread,Market,Model,Err,IV_Mkt,IV_Model
0.0414,5400.0,PUT,0.35,1.475,5.8544,4.3794,0.4869,0.5871
0.0414,6175.0,PUT,0.7,7.15,6.6039,-0.5461,0.3067,0.3021
0.0414,6550.0,PUT,0.8,26.6,18.9227,-7.6773,0.2356,0.2108
0.0414,6690.0,PUT,0.9,45.85,35.6343,-10.2157,0.2087,0.1854
0.0441,5800.0,PUT,0.7,3.45,5.4913,2.0413,0.3875,0.4166
0.0441,6250.0,PUT,0.9,10.35,8.18,-2.17,0.2911,0.277
0.0441,6600.0,PUT,0.9,35.15,25.5464,-9.6036,0.2268,0.2011
0.0441,7020.0,CALL,0.9,21.95,23.6321,1.6821,0.1257,0.1297
0.0469,5975.0,PUT,0.7,5.95,6.1942,0.2442,0.3485,0.3509
0.0469,6350.0,PUT,0.8,16.6,11.3891,-5.2109,0.2745,0.2502
0.0469,6660.0,PUT,1.2,48.0,35.5459,-12.4541,0.2181,0.1905
0.0469,7125.0,CALL,0.5,4.85,6.7203,1.8703,0.1104,0.1192
0.0496,6100.0,PUT,0.8,9.1,7.4831,-1.6169,0.3213,0.3094
0.0496,6475.0,PUT,0.9,27.65,18.4616,-9.1884,0.2527,0.2233
0.0496,6725.0,PUT,1.3,63.65,49.6776,-13.9724,0.2059,0.1795
0.0516,5325.0,PUT,0.4,2.2,6.4775,4.2775,0.4822,0.5615
0.0516,5560.0,PUT,0.6,3.4,6.0046,2.6046,0.4342,0.473
0.0516,5680.0,PUT,0.6,4.0,5.9873,1.9873,0.4054,0.4318
0.0516,5810.0,PUT,0.6,5.1,6.171,1.071,0.3778,0.3899
0.0516,5940.0,PUT,0.7,7.05,6.6386,-0.4114,0.3544,0.3507
0.0516,6070.0,PUT,0.7,9.45,7.5583,-1.8917,0.3282,0.3143
0.0516,6185.0,PUT,0.8,12.7,9.0251,-3.6749,0.3064,0.2848
0.0516,6260.0,PUT,1.0,14.9,10.5266,-4.3734,0.2892,0.2671
0.0516,6335.0,PUT,0.9,18.55,12.6861,-5.8639,0.2757,0.2506
0.0516,6415.0,PUT,1.2,23.8,16.0421,-7.7579,0.2618,0.2343
0.0516,6490.0,PUT,1.2,30.2,20.6081,-9.5919,0.2486,0.22
0.0516,6565.0,PUT,0.9,39.85,27.1283,-12.7217,0.2384,0.2066
0.0516,6640.0,PUT,1.4,49.2,36.3721,-12.8279,0.2213,0.1938
0.0516,6715.0,PUT,1.1,64.35,49.3556,-14.9944,0.2093,0.1812
0.0516,7070.0,CALL,1.2,16.3,16.4255,0.1255,0.1236,0.1239
0.0516,7145.0,CALL,0.8,4.9,6.3672,1.4672,0.1114,0.1183
0.0605,5800.0,PUT,0.8,6.0,7.029,1.029,0.3618,0.3717
0.0605,6325.0,PUT,1.0,20.8,15.7863,-5.0137,0.2668,0.2483
0.0605,6720.0,PUT,1.2,68.4,57.9072,-10.4928,0.1983,0.1805
0.0633,5900.0,PUT,0.6,8.0,7.9462,-0.0538,0.3406,0.3402
0.0633,6450.0,PUT,1.0,32.0,24.1324,-7.8676,0.2461,0.2249
0.0633,7075.0,CALL,1.1,20.35,21.4716,1.1216,0.1217,0.1241
0.066,6025.0,PUT,1.0,11.5,9.7442,-1.7558,0.3173,0.3069
0.066,6500.0,PUT,1.2,39.2,29.8503,-9.3497,0.238,0.2161
0.066,7150.0,CALL,0.9,8.05,10.2221,2.1721,0.1113,0.1185
0.0688,6300.0,PUT,1.0,24.1,17.9354,-6.1646,0.2704,0.2498
0.0688,6725.0,PUT,1.4,77.1,65.4874,-11.6126,0.198,0.1799
0.0715,5450.0,PUT,0.4,4.8,7.1373,2.3373,0.4204,0.4474
0.0715,6050.0,PUT,0.8,14.1,11.3004,-2.7996,0.3107,0.2964
0.0715,6350.0,PUT,1.0,29.1,21.6153,-7.4847,0.2619,0.2403
0.0715,6475.0,PUT,1.2,40.4,30.6867,-9.7133,0.2417,0.2196
0.0715,6600.0,PUT,1.3,56.45,45.0446,-11.4054,0.2206,0.1997
0.0715,6725.0,PUT,1.3,79.15,67.5725,-11.5775,0.1976,0.1799
0.0715,7125.0,CALL,0.7,14.85,15.6184,0.7684,0.1184,0.1203
0.0797,6000.0,PUT,0.9,13.95,12.1285,-1.8215,0.3091,0.3002
0.0797,6675.0,PUT,1.3,71.95,63.2095,-8.7405,0.2013,0.1879
0.0824,4950.0,PUT,0.45,2.775,8.9245,6.1495,0.4929,0.5824
0.0824,5190.0,PUT,0.7,3.85,7.9237,4.0737,0.4486,0.4997
0.0824,5270.0,PUT,0.6,4.3,7.7648,3.4648,0.4338,0.4747
0.0824,5360.0,PUT,0.7,4.95,7.701,2.751,0.4182,0.4481
0.0824,5465.0,PUT,0.6,5.8,7.7944,1.9944,0.3995,0.419
0.0824,5545.0,PUT,0.7,6.55,8.0016,1.4516,0.3851,0.3982
0.0824,5630.0,PUT,0.7,7.55,8.3701,0.8201,0.3706,0.3772
0.0824,5720.0,PUT,0.8,8.8,8.9574,0.1574,0.3551,0.3562
0.0824,5795.0,PUT,0.8,10.1,9.6346,-0.4654,0.3427,0.3397
0.0824,5880.0,PUT,0.8,11.8,10.6592,-1.1408,0.3283,0.3218
0.0824,6020.0,PUT,0.9,15.65,13.1502,-2.4998,0.3058,0.2945
0.0824,6140.0,PUT,1.0,20.3,16.433,-3.867,0.287,0.2728
0.0824,6220.0,PUT,0.9,24.35,19.4697,-4.8803,0.2747,0.2591
0.0824,6295.0,PUT,0.9,28.95,23.1489,-5.8011,0.2629,0.2467
0.0824,6370.0,PUT,1.0,34.8,27.8662,-6.9338,0.2517,0.2348
0.0824,6450.0,PUT,1.2,42.4,34.3702,-8.0298,0.2394,0.2223
0.0824,6525.0,PUT,1.0,51.1,42.2371,-8.8629,0.2274,0.2109
0.0824,6600.0,PUT,1.3,61.75,52.2913,-9.4587,0.2152,0.1994
0.0824,6675.0,PUT,1.3,74.75,65.118,-9.632,0.2024,0.1879
0.0824,7025.0,CALL,1.0,49.8,48.3861,-1.4139,0.1341,0.132
0.0824,7105.0,CALL,1.1,22.75,24.2681,1.5181,0.1197,0.1226
0.0824,7180.0,CALL,0.9,9.05,11.8856,2.8356,0.1097,0.1179
0.0824,7255.0,CALL,0.7,3.35,5.8077,2.4577,0.1047,0.1168
0.1098,5600.0,PUT,0.9,11.65,10.9851,-0.6649,0.3559,0.352
0.1098,6350.0,PUT,1.0,44.4,38.8699,-5.5301,0.2449,0.2341
0.1098,6710.0,PUT,1.4,97.5,90.2812,-7.2188,0.1917,0.1829
0.1098,7400.0,CALL,0.4,2.25,3.9626,1.7126,0.109,0.1199
0.1282,5175.0,PUT,0.7,8.55,9.9201,1.3701,0.411,0.4213
0.1282,5550.0,PUT,0.9,13.95,12.5388,-1.4112,0.3539,0.3467
0.1282,5760.0,PUT,0.9,18.75,16.3629,-2.3871,0.3225,0.3132
0.1282,5880.0,PUT,1.0,22.2,19.6835,-2.5165,0.304,0.2957
0.1282,6010.0,PUT,1.0,27.5,24.5493,-2.9507,0.2857,0.2776
0.1282,6130.0,PUT,1.2,33.9,30.5718,-3.3282,0.2692,0.2615
0.1282,6260.0,PUT,1.0,43.6,39.3017,-4.2983,0.2525,0.2443
0.1282,6375.0,PUT,1.1,54.35,49.5528,-4.7972,0.237,0.2291
0.1282,6450.0,PUT,1.5,62.35,57.8739,-4.4761,0.2258,0.2191
0.1282,6525.0,PUT,1.4,72.5,67.7841,-4.7159,0.2155,0.2091
0.1282,6600.0,PUT,1.6,84.5,79.6006,-4.8994,0.2049,0.1988
0.1282,6680.0,PUT,1.8,99.9,94.7542,-5.1458,0.1935,0.1875
0.1282,7030.0,CALL,1.4,82.2,76.4116,-5.7884,0.142,0.1357
0.1282,7105.0,CALL,1.2,51.3,47.2261,-4.0739,0.1318,0.1267
0.1282,7190.0,CALL,1.1,26.95,25.7526,-1.1974,0.122,0.1201
0.1282,7320.0,CALL,0.9,8.05,10.1019,2.0519,0.1115,0.1175
0.1282,7450.0,CALL,0.5,2.55,4.4413,1.8913,0.1102,0.1211
0.1482,5900.0,PUT,1.1,27.65,25.025,-2.625,0.2943,0.2871
0.1482,6475.0,PUT,1.3,74.05,70.7258,-3.3242,0.2194,0.2151
0.1482,7075.0,CALL,1.3,74.45,69.3588,-5.0912,0.1375,0.1321
0.1646,5050.0,PUT,0.7,11.05,11.6811,0.6311,0.4077,0.4116
0.1646,5410.0,PUT,0.9,16.55,14.7386,-1.8114,0.3557,0.3478
0.1646,5530.0,PUT,1.0,19.1,16.9144,-2.1856,0.3388,0.3305
0.1646,5670.0,PUT,0.9,22.85,20.4132,-2.4368,0.3197,0.3118
0.1646,5790.0,PUT,1.0,26.9,24.4048,-2.4952,0.3037,0.2968
0.1646,5925.0,PUT,1.0,32.7,30.2438,-2.4562,0.2862,0.2805
0.1646,6050.0,PUT,1.2,39.6,37.2251,-2.3749,0.2704,0.2657
0.1646,6175.0,PUT,1.1,48.45,46.1044,-2.3456,0.2549,0.2509
0.1646,6300.0,PUT,1.1,59.75,57.3722,-2.3778,0.2395,0.236
0.1646,6410.0,PUT,1.4,72.4,69.7713,-2.6287,0.2261,0.2227
0.1646,6490.0,PUT,1.2,83.4,80.5857,-2.8143,0.2161,0.2128
0.1646,6565.0,PUT,1.3,95.45,92.3754,-3.0746,0.2066,0.2032
0.1646,6640.0,PUT,1.3,109.45,106.0594,-3.3906,0.197,0.1935
0.1646,6715.0,PUT,1.4,125.8,122.0107,-3.7893,0.1871,0.1834
0.1646,7065.0,CALL,1.3,89.25,83.4736,-5.7764,0.1407,0.135
0.1646,7145.0,CALL,1.3,57.45,52.8817,-4.5683,0.1316,0.1265
0.1646,7220.0,CALL,1.3,35.65,33.2586,-2.3914,0.1244,0.1212
0.1646,7295.0,CALL,1.2,20.8,20.8186,0.0186,0.1187,0.1187
0.1646,7370.0,CALL,0.9,11.75,13.2536,1.5036,0.1149,0.1184
0.1646,7450.0,CALL,0.5,6.25,8.4754,2.2254,0.1126,0.1198
0.1646,7525.0,CALL,0.7,3.65,5.8404,2.1904,0.1127,0.1226
0.2049,4850.0,PUT,0.7,12.85,13.5242,0.6742,0.4175,0.4212
0.2049,5225.0,PUT,0.8,18.4,16.247,-2.153,0.3651,0.3564
0.2049,5600.0,PUT,1.0,28.1,25.2377,-2.8623,0.3169,0.3092
0.2049,5860.0,PUT,1.1,39.15,36.9245,-2.2255,0.2854,0.281
0.2049,5980.0,PUT,1.3,46.15,44.3741,-1.7759,0.2713,0.2682
0.2049,6110.0,PUT,1.1,56.15,54.2938,-1.8562,0.2572,0.2544
0.2049,6230.0,PUT,1.2,67.1,65.5022,-1.5978,0.2435,0.2414
0.2049,6360.0,PUT,1.5,81.15,80.3625,-0.7875,0.2279,0.227
0.2049,6480.0,PUT,1.6,98.0,97.1757,-0.8243,0.214,0.2132
0.2049,6560.0,PUT,1.3,112.45,110.4048,-2.0452,0.2057,0.2037
0.2049,6635.0,PUT,1.5,127.15,124.5716,-2.5784,0.1969,0.1945
0.2049,6710.0,PUT,1.8,142.8,140.7647,-2.0353,0.1869,0.1851
0.2049,7065.0,CALL,1.9,114.85,107.4605,-7.3895,0.1455,0.1392
0.2049,7175.0,CALL,1.3,69.75,62.4207,-7.3293,0.135,0.1279
0.2049,7300.0,CALL,1.4,34.2,31.6113,-2.5887,0.1242,0.1208
0.2049,7425.0,CALL,1.1,15.35,16.3572,1.0072,0.1177,0.1196
0.244,4900.0,PUT,0.8,16.8,16.1265,-0.6735,0.3925,0.3896
0.244,5625.0,PUT,1.1,35.65,33.3802,-2.2698,0.3039,0.299
0.244,6000.0,PUT,1.2,57.2,56.8838,-0.3162,0.2627,0.2623
0.244,6370.0,PUT,1.5,95.75,96.8564,1.1064,0.2235,0.2246
0.244,6510.0,PUT,1.5,117.45,118.4711,1.0211,0.2085,0.2094
0.244,6650.0,PUT,1.8,145.0,145.1775,0.1775,0.1933,0.1934
0.244,7060.0,CALL,1.4,139.3,133.2094,-6.0906,0.1485,0.1438
0.244,7325.0,CALL,1.4,42.4,39.3101,-3.0899,0.1261,0.1226
0.2987,4850.0,PUT,0.9,21.25,19.8197,-1.4303,0.3816,0.3766
0.2987,5225.0,PUT,1.0,29.9,26.9903,-2.9097,0.3374,0.3299
0.2987,5625.0,PUT,1.1,45.75,43.9262,-1.8238,0.2947,0.2916
0.2987,5940.0,PUT,1.4,66.3,66.6196,0.3196,0.2632,0.2636
0.2987,6080.0,PUT,1.5,78.85,80.1333,1.2833,0.2496,0.251
0.2987,6210.0,PUT,1.7,92.95,94.9915,2.0415,0.2369,0.239
0.2987,6330.0,PUT,1.7,108.45,111.0138,2.5638,0.2251,0.2275
0.2987,6470.0,PUT,1.5,131.15,133.0478,1.8978,0.212,0.2136
0.2987,6585.0,PUT,1.9,152.05,154.4153,2.3653,0.1998,0.2017
0.2987,6680.0,PUT,2.1,173.25,174.7978,1.5478,0.1904,0.1915
0.2987,7050.0,CALL,1.5,176.25,170.8995,-5.3505,0.1538,0.1502
0.2987,7175.0,CALL,1.4,116.2,109.1432,-7.0568,0.1427,0.1375
0.2987,7310.0,CALL,1.7,67.45,62.1696,-5.2804,0.1322,0.1276
0.2987,7500.0,CALL,1.3,27.65,27.7275,0.0775,0.1226,0.1227
0.2987,7875.0,CALL,0.6,4.1,8.1827,4.0827,0.1178,0.1326
0.3316,5225.0,PUT,1.1,34.05,31.2219,-2.8281,0.3307,0.3243
0.3316,5625.0,PUT,1.3,51.45,50.3407,-1.1093,0.2899,0.2881
0.3316,6000.0,PUT,1.5,79.15,81.0208,1.8708,0.2543,0.2564
0.3316,6130.0,PUT,1.5,92.65,95.3747,2.7247,0.2423,0.245
0.3316,6260.0,PUT,1.6,108.7,112.0842,3.3842,0.2303,0.2334
0.3316,6380.0,PUT,1.5,126.25,129.9359,3.6859,0.2192,0.2222
0.3316,6490.0,PUT,1.6,145.0,148.7042,3.7042,0.2088,0.2116
0.3316,6565.0,PUT,1.5,159.55,163.0372,3.4872,0.2017,0.2042
0.3316,6640.0,PUT,1.8,175.8,178.8115,3.0115,0.1945,0.1966
0.3316,6715.0,PUT,1.9,193.85,196.2434,2.3934,0.1873,0.1889
0.3316,7065.0,CALL,1.7,182.95,181.6643,-1.2857,0.1524,0.1516
0.3316,7190.0,CALL,1.4,123.2,119.5462,-3.6538,0.142,0.1395
0.3316,7400.0,CALL,1.2,54.6,52.2599,-2.3401,0.1284,0.1263
0.3316,7900.0,CALL,0.6,5.1,9.8991,4.7991,0.1175,0.1323
0.3774,5125.0,PUT,1.0,36.5,33.6984,-2.8016,0.3334,0.3274
0.3774,5525.0,PUT,1.1,53.95,52.6009,-1.3491,0.2943,0.2923
0.3774,5900.0,PUT,1.5,80.85,82.625,1.775,0.2604,0.2623
0.3774,6170.0,PUT,1.6,109.8,113.8529,4.0529,0.2366,0.2402
0.3774,6290.0,PUT,1.7,126.15,130.9599,4.8099,0.226,0.2299
0.3774,6420.0,PUT,1.9,146.95,152.1963,5.2463,0.2145,0.2184
0.3774,6550.0,PUT,1.7,171.85,176.753,4.903,0.2031,0.2064
0.3774,6675.0,PUT,1.9,199.15,204.17,5.02,0.1913,0.1945
0.3774,7075.0,CALL,2.1,203.85,202.1611,-1.6889,0.1557,0.1546
0.3774,7200.0,CALL,2.0,142.6,138.5714,-4.0286,0.1456,0.1431
0.3774,7325.0,CALL,1.8,94.2,89.6263,-4.5737,0.137,0.1337
0.3774,7650.0,CALL,1.1,25.05,27.7506,2.7006,0.1222,0.1256
0.3774,8300.0,CALL,0.4,1.8,7.3073,5.5073,0.1236,0.1513
0.4165,5700.0,PUT,1.4,72.9,72.9893,0.0893,0.2756,0.2757
0.4165,6100.0,PUT,1.4,112.2,115.595,3.395,0.2419,0.2449
0.4165,6500.0,PUT,1.7,175.05,180.2442,5.1942,0.2081,0.2115
0.4165,6725.0,PUT,1.6,226.2,230.8332,4.6332,0.1884,0.1911
0.4165,7300.0,CALL,1.7,121.25,115.7921,-5.4579,0.1424,0.1389
0.4165,7800.0,CALL,1.0,18.2,22.4017,4.2017,0.122,0.1282
0.4732,5050.0,PUT,1.2,45.0,42.7963,-2.2037,0.3273,0.3234
0.4732,5450.0,PUT,1.3,65.25,64.308,-0.942,0.2922,0.291
0.4732,5825.0,PUT,1.4,95.0,97.0221,2.0221,0.2618,0.2637
0.4732,6200.0,PUT,1.6,140.3,145.3727,5.0727,0.2323,0.236
0.4732,6490.0,PUT,1.9,190.55,196.8174,6.2674,0.2092,0.2131
0.4732,7050.0,CALL,2.3,267.85,269.8502,2.0002,0.1635,0.1646
0.4732,7425.0,CALL,1.9,99.95,96.9915,-2.9585,0.1382,0.1363
0.4732,7800.0,CALL,1.2,26.5,30.7236,4.2236,0.1242,0.1291
0.5499,4900.0,PUT,1.1,47.15,46.0536,-1.0964,0.3316,0.3298
0.5499,5275.0,PUT,1.4,65.5,64.8015,-0.6985,0.3002,0.2993
0.5499,5675.0,PUT,1.4,95.4,97.389,1.989,0.2694,0.2712
0.5499,6050.0,PUT,1.8,137.9,142.9773,5.0773,0.2421,0.2458
0.5499,6425.0,PUT,1.7,199.75,207.1865,7.4365,0.2147,0.2191
0.5499,7075.0,CALL,2.4,290.7,296.006,5.306,0.1652,0.1678
0.5499,7450.0,CALL,2.0,119.8,119.5076,-0.2924,0.1413,0.1411
0.5499,7850.0,CALL,1.2,34.2,39.0232,4.8232,0.1267,0.1315
0.5835,5050.0,PUT,1.3,57.25,56.6488,-0.6012,0.3153,0.3145
0.5835,5575.0,PUT,1.5,91.95,93.9597,2.0097,0.2747,0.2767
0.5835,5950.0,PUT,1.6,131.7,136.8837,5.1837,0.2481,0.252
0.5835,6305.0,PUT,1.8,185.8,193.5325,7.7325,0.2232,0.2279
0.5835,6385.0,PUT,1.9,200.75,208.8841,8.1341,0.2176,0.2223
0.5835,6460.0,PUT,2.0,215.8,224.2737,8.4737,0.2122,0.2169
0.5835,6535.0,PUT,2.0,232.0,240.7069,8.7069,0.2067,0.2115
0.5835,6610.0,PUT,2.1,249.45,258.275,8.825,0.2013,0.2059
0.5835,6690.0,PUT,2.2,269.6,278.3871,8.7871,0.1954,0.1999
0.5835,7040.0,CALL,2.4,325.9,334.2652,8.3652,0.1688,0.1728
0.5835,7115.0,CALL,1.3,345.15,290.3591,-54.7909,0.1934,0.1669
0.5835,7190.0,CALL,2.3,243.15,249.2108,6.0608,0.1583,0.1612
0.5835,7265.0,CALL,2.2,206.5,211.2012,4.7012,0.1534,0.1557
0.5835,7345.0,CALL,2.1,171.25,174.5617,3.3117,0.1485,0.1502
0.5835,8000.0,CALL,1.2,24.5,31.6516,7.1516,0.1251,0.1334
0.6265,5050.0,PUT,1.3,62.05,62.1646,0.1146,0.3117,0.3118
