T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,200.0,PUT,0.08,0.11,0.04,0.5699,0.5987
0.057,205.0,PUT,0.09,0.13,0.04,0.5434,0.5706
0.057,210.0,PUT,0.11,0.15,0.04,0.5182,0.5418
0.057,215.0,PUT,0.14,0.18,0.04,0.4956,0.5125
0.057,220.0,PUT,0.17,0.2,0.03,0.4696,0.4827
0.057,230.0,PUT,0.26,0.27,0.02,0.4179,0.4225
0.057,235.0,PUT,0.33,0.32,-0.01,0.3941,0.393
0.057,240.0,PUT,0.41,0.39,-0.02,0.3689,0.3647
0.057,245.0,PUT,0.53,0.49,-0.04,0.3447,0.3387
0.057,250.0,PUT,0.71,0.65,-0.06,0.3227,0.3155
0.057,260.0,PUT,1.44,1.35,-0.09,0.2847,0.2788
0.057,265.0,PUT,2.15,2.05,-0.1,0.2702,0.2648
0.057,270.0,PUT,3.25,3.12,-0.13,0.2588,0.253
0.057,285.0,CALL,3.3,3.44,0.14,0.2216,0.2275
0.057,290.0,CALL,1.82,1.97,0.14,0.2153,0.2223
0.057,300.0,CALL,0.53,0.53,0.01,0.2179,0.2184
0.057,305.0,CALL,0.29,0.27,-0.02,0.2233,0.2206
0.057,310.0,CALL,0.17,0.14,-0.03,0.2328,0.2264
0.057,315.0,CALL,0.1,0.09,-0.01,0.2411,0.2363
0.076,195.0,PUT,0.1,0.13,0.03,0.5458,0.5631
0.076,205.0,PUT,0.15,0.18,0.03,0.5028,0.5151
0.076,210.0,PUT,0.18,0.21,0.02,0.4819,0.4905
0.076,215.0,PUT,0.22,0.24,0.02,0.4599,0.4655
0.076,220.0,PUT,0.27,0.28,0.01,0.4368,0.4403
0.076,225.0,PUT,0.33,0.33,0.01,0.4137,0.4154
0.076,235.0,PUT,0.49,0.48,-0.02,0.3699,0.3675
0.076,240.0,PUT,0.62,0.6,-0.03,0.3489,0.3455
0.076,245.0,PUT,0.8,0.77,-0.04,0.3289,0.3253
0.076,250.0,PUT,1.06,1.03,-0.04,0.3104,0.3073
0.076,260.0,PUT,2.03,1.98,-0.05,0.2798,0.2773
0.076,265.0,PUT,2.87,2.81,-0.06,0.2674,0.265
0.076,270.0,PUT,4.08,4.0,-0.08,0.257,0.2541
0.076,285.0,CALL,4.25,4.45,0.2,0.2222,0.2293
0.076,290.0,CALL,2.58,2.79,0.21,0.2154,0.2239
