T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.04,5600.0,PUT,1.23,2.11,0.88,0.4267,0.4562
0.04,6300.0,PUT,5.5,5.78,0.28,0.2623,0.2648
0.04,6675.0,PUT,25.6,25.83,0.23,0.1906,0.1913
0.04,6835.0,PUT,54.35,57.97,3.62,0.1589,0.1659
0.04,6940.0,CALL,70.9,69.35,-1.55,0.1519,0.1491
0.04,7060.0,CALL,18.7,21.77,3.07,0.1231,0.1308
0.042,5425.0,PUT,1.23,1.79,0.57,0.4726,0.4945
0.042,5600.0,PUT,1.6,2.21,0.61,0.4302,0.4483
0.042,5775.0,PUT,1.98,2.71,0.73,0.3842,0.4009
0.042,5940.0,PUT,2.75,3.28,0.53,0.3465,0.3557
0.042,6110.0,PUT,4.25,4.18,-0.07,0.3107,0.3098
0.042,6215.0,PUT,5.7,5.1,-0.6,0.2887,0.2829
0.042,6315.0,PUT,7.75,6.53,-1.22,0.2682,0.2592
0.042,6415.0,PUT,10.3,8.97,-1.33,0.2452,0.2376
0.042,6515.0,PUT,16.75,13.22,-3.53,0.2328,0.2183
0.042,6615.0,PUT,23.7,20.61,-3.09,0.2105,0.2009
0.042,6720.0,PUT,37.65,34.09,-3.56,0.1923,0.184
0.042,6820.0,PUT,58.55,55.7,-2.85,0.1737,0.1683
0.042,6920.0,CALL,83.45,82.57,-0.88,0.1539,0.1524
0.042,7020.0,CALL,34.0,35.72,1.72,0.133,0.1366
0.042,7120.0,CALL,7.25,10.91,3.66,0.1106,0.1241
0.042,7220.0,CALL,1.05,2.68,1.63,0.1023,0.1196
0.051,5975.0,PUT,3.75,4.39,0.64,0.3192,0.3273
0.051,6475.0,PUT,16.3,15.37,-0.93,0.2263,0.2228
0.051,6770.0,PUT,52.65,51.6,-1.05,0.178,0.176
0.051,6930.0,CALL,81.45,86.33,4.88,0.1431,0.1509
0.051,7100.0,CALL,13.65,19.01,5.36,0.1124,0.1262
0.054,6025.0,PUT,4.75,5.12,0.37,0.3074,0.3112
0.054,6525.0,PUT,21.4,20.07,-1.33,0.218,0.2138
0.054,6775.0,PUT,56.5,55.09,-1.41,0.1777,0.1752
0.054,6940.0,CALL,79.3,83.39,4.09,0.1429,0.1493
0.054,7110.0,CALL,13.55,18.32,4.77,0.113,0.1252
0.057,6050.0,PUT,5.5,5.76,0.26,0.2996,0.3021
0.057,6550.0,PUT,25.9,23.68,-2.22,0.2156,0.2094
0.057,6820.0,PUT,70.25,68.84,-1.41,0.1705,0.1682
0.057,6980.0,CALL,60.9,65.14,4.24,0.1363,0.143
0.057,7225.0,CALL,2.55,5.16,2.61,0.1031,0.1186
0.06,6275.0,PUT,11.65,10.39,-1.26,0.2613,0.2548
0.06,6725.0,PUT,53.1,49.11,-3.99,0.1899,0.1826
0.06,6900.0,CALL,111.75,111.95,0.2,0.1554,0.1557
0.06,7075.0,CALL,27.7,30.09,2.39,0.1247,0.1293
0.062,5240.0,PUT,1.7,2.09,0.39,0.4574,0.4689
0.062,5410.0,PUT,2.25,2.62,0.37,0.4245,0.433
0.062,5575.0,PUT,2.83,3.25,0.42,0.3898,0.3975
0.062,5740.0,PUT,3.75,4.04,0.29,0.3575,0.3615
0.062,5910.0,PUT,5.3,5.19,-0.11,0.3261,0.325
0.062,6075.0,PUT,7.5,6.99,-0.51,0.2949,0.291
0.062,6190.0,PUT,10.05,9.01,-1.04,0.2749,0.2688
0.062,6295.0,PUT,13.35,11.85,-1.5,0.2568,0.2499
0.062,6395.0,PUT,18.5,15.97,-2.53,0.2422,0.233
0.062,6495.0,PUT,25.05,22.2,-2.85,0.2253,0.2171
0.062,6595.0,PUT,35.4,31.62,-3.78,0.2105,0.2019
0.062,6695.0,PUT,50.1,45.78,-4.32,0.195,0.187
0.062,6795.0,PUT,70.9,66.81,-4.09,0.1785,0.1719
0.062,6895.0,PUT,100.6,97.62,-2.98,0.1608,0.1565
0.062,6995.0,CALL,62.65,62.47,-0.18,0.141,0.1408
0.062,7100.0,CALL,23.3,24.83,1.53,0.1233,0.1264
0.062,7200.0,CALL,6.4,8.4,2.0,0.1115,0.1191
0.062,7300.0,CALL,1.57,2.79,1.22,0.108,0.1188
0.07,6100.0,PUT,9.15,9.02,-0.13,0.2805,0.2797
