T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.057,290.0,PUT,0.33,0.39,0.06,0.6914,0.7082
0.057,295.0,PUT,0.38,0.45,0.08,0.6742,0.694
0.057,305.0,PUT,0.47,0.61,0.13,0.638,0.6645
0.057,310.0,PUT,0.54,0.7,0.16,0.621,0.6491
0.057,320.0,PUT,0.71,0.92,0.21,0.5886,0.6174
0.057,330.0,PUT,0.95,1.19,0.24,0.5587,0.5849
0.057,335.0,PUT,1.11,1.36,0.25,0.5445,0.5686
0.057,345.0,PUT,1.55,1.79,0.24,0.5185,0.5371
0.057,355.0,PUT,2.2,2.41,0.21,0.4953,0.508
0.057,360.0,PUT,2.62,2.81,0.19,0.4847,0.4948
0.057,370.0,PUT,3.8,3.92,0.12,0.4666,0.4718
0.057,380.0,PUT,5.45,5.56,0.11,0.4495,0.4533
0.057,385.0,PUT,6.55,6.63,0.08,0.4431,0.4456
0.057,395.0,PUT,9.35,9.39,0.04,0.432,0.4332
0.057,400.0,PUT,11.12,11.12,-0.0,0.4284,0.4283
0.057,425.0,CALL,10.7,10.74,0.04,0.4128,0.4139
0.057,435.0,CALL,7.5,7.53,0.03,0.4111,0.4119
0.057,440.0,CALL,6.2,6.25,0.05,0.4102,0.4117
0.057,450.0,CALL,4.25,4.26,0.01,0.4126,0.4129
0.057,460.0,CALL,2.85,2.88,0.03,0.4151,0.4162
0.057,465.0,CALL,2.34,2.37,0.03,0.4174,0.4188
0.057,475.0,CALL,1.58,1.63,0.05,0.4226,0.4259
0.057,485.0,CALL,1.06,1.14,0.08,0.4291,0.4356
0.057,490.0,CALL,0.89,0.97,0.08,0.4334,0.4414
0.057,500.0,CALL,0.61,0.72,0.11,0.4416,0.4547
0.057,510.0,CALL,0.42,0.55,0.13,0.4503,0.4699
0.057,515.0,CALL,0.36,0.49,0.13,0.4554,0.4779
0.057,525.0,CALL,0.26,0.39,0.13,0.4657,0.4944
0.057,530.0,CALL,0.23,0.35,0.13,0.4717,0.5027
0.076,295.0,PUT,0.58,0.66,0.08,0.6249,0.6381
0.076,305.0,PUT,0.74,0.88,0.13,0.5958,0.6137
0.076,310.0,PUT,0.85,1.01,0.16,0.5821,0.6011
0.076,320.0,PUT,1.12,1.33,0.21,0.5562,0.5758
0.076,330.0,PUT,1.5,1.74,0.25,0.5321,0.5508
0.076,335.0,PUT,1.74,2.0,0.26,0.5211,0.5386
0.076,345.0,PUT,2.38,2.65,0.27,0.5009,0.5155
0.076,355.0,PUT,3.3,3.55,0.25,0.4837,0.4947
0.076,360.0,PUT,3.85,4.12,0.27,0.4743,0.4853
0.076,370.0,PUT,5.35,5.6,0.25,0.4603,0.4688
0.076,380.0,PUT,7.38,7.62,0.25,0.448,0.4551
0.076,385.0,PUT,8.62,8.88,0.25,0.4425,0.4493
0.076,395.0,PUT,11.73,11.95,0.22,0.4342,0.4396
