T,K,Type,Bid,Ask,Spread,Weight,Market,Model,Err,IV_Mkt,IV_Model
0.0436,6050.0,PUT,3.9,5.0,1.1,0.9090909090909091,4.45,9.0292,4.5792,0.3322,0.3767
0.0436,6400.0,PUT,10.5,12.0,1.5,0.6666666666666666,11.25,12.8591,1.6091,0.2561,0.2643
0.0436,6640.0,PUT,26.4,28.3,1.9,0.5263157894736836,27.35,23.3015,-4.0485,0.2101,0.1986
0.0436,6770.0,PUT,45.3,47.4,2.1,0.4761904761904759,46.35,39.1894,-7.1606,0.1847,0.1696
0.0463,6225.0,PUT,6.9,8.3,1.4,0.7142857142857141,7.6,11.0282,3.4282,0.291,0.314
0.0463,6580.0,PUT,22.8,24.9,2.1,0.47619047619047666,23.85,20.8007,-3.0493,0.222,0.2125
0.0463,6720.0,PUT,39.6,41.8,2.2,0.4545454545454554,40.7,33.8025,-6.8975,0.1956,0.1801
0.049,5975.0,PUT,4.3,5.5,1.2,0.8333333333333333,4.9,9.5391,4.6391,0.3432,0.3862
0.049,6375.0,PUT,12.9,13.9,1.0,1.0,13.4,14.2631,0.8631,0.2615,0.2655
0.049,6630.0,PUT,30.7,32.9,2.2,0.4545454545454547,31.8,26.1145,-5.6855,0.2146,0.1998
0.049,6760.0,PUT,50.1,52.5,2.4,0.4166666666666669,51.3,42.1601,-9.1399,0.1899,0.1719
0.0518,6050.0,PUT,5.7,7.1,1.4,0.7142857142857145,6.4,10.5598,4.1598,0.3246,0.3568
0.0518,6425.0,PUT,16.3,18.2,1.9,0.5263157894736846,17.25,16.6574,-0.5926,0.2517,0.2494
0.0518,6670.0,PUT,38.6,40.6,2.0,0.5,39.6,31.8697,-7.7303,0.2081,0.1905
0.0518,7100.0,CALL,13.9,15.3,1.4,0.7142857142857141,14.6,17.3792,2.7792,0.1107,0.1178
0.0545,6075.0,PUT,7.0,8.1,1.1,0.9090909090909094,7.55,11.3213,3.7713,0.3178,0.344
0.0545,6330.0,PUT,13.5,15.1,1.6,0.6250000000000001,14.3,15.1194,0.8194,0.2688,0.2724
0.0545,6470.0,PUT,20.8,22.6,1.8,0.5555555555555554,21.7,19.4979,-2.2021,0.2435,0.2361
0.0545,6590.0,PUT,31.1,33.3,2.2,0.4545454545454554,32.2,26.3649,-5.8351,0.2228,0.2077
0.0545,6710.0,PUT,47.0,49.1,2.1,0.4761904761904759,48.05,38.8352,-9.2148,0.2006,0.182
0.0545,7070.0,CALL,24.9,26.4,1.5,0.6666666666666666,25.65,25.8035,0.1535,0.1199,0.1202
0.0627,5700.0,PUT,3.7,4.7,1.0,1.0,4.2,9.9427,5.7427,0.3762,0.4338
0.0627,6275.0,PUT,12.7,14.4,1.7,0.5882352941176467,13.55,16.5058,2.9558,0.2662,0.279
0.0627,6650.0,PUT,41.1,43.2,2.1,0.4761904761904759,42.15,37.2592,-4.8908,0.2038,0.1937
0.0655,5800.0,PUT,4.7,6.0,1.3,0.7692307692307694,5.35,10.8795,5.5295,0.3529,0.3995
0.0655,6300.0,PUT,14.8,16.6,1.8,0.5555555555555554,15.7,18.0399,2.3399,0.2614,0.2706
0.0655,6650.0,PUT,43.3,45.7,2.4,0.4166666666666657,44.5,39.1065,-5.3935,0.2042,0.1935
0.0655,7200.0,CALL,4.8,5.8,1.0,1.0,5.3,9.2372,3.9372,0.1014,0.1161
0.0682,6325.0,PUT,17.6,19.4,1.8,0.5555555555555565,18.5,19.7461,1.2461,0.2583,0.2627
0.0682,6700.0,PUT,54.8,57.0,2.2,0.454545454545454,55.9,47.5279,-8.3721,0.1984,0.1836
0.0709,5900.0,PUT,6.9,8.3,1.4,0.7142857142857141,7.6,12.5653,4.9653,0.3303,0.3633
0.0709,6475.0,PUT,29.1,31.3,2.2,0.4545454545454547,30.2,27.6091,-2.5909,0.2349,0.2283
0.0709,7100.0,CALL,27.0,28.8,1.8,0.5555555555555554,27.9,27.0971,-0.8029,0.1203,0.1188
0.0729,5620.0,PUT,4.5,5.5,1.0,1.0,5.0,10.6693,5.6693,0.3808,0.4324
0.0729,5740.0,PUT,5.3,6.4,1.1,0.9090909090909086,5.85,11.4387,5.5887,0.3562,0.4008
0.0729,5870.0,PUT,6.9,7.9,1.0,1.0,7.4,12.5806,5.1806,0.3329,0.3677
0.0729,5990.0,PUT,9.1,10.4,1.3,0.7692307692307688,9.75,13.9957,4.2457,0.3143,0.3381
0.0729,6110.0,PUT,11.9,13.4,1.5,0.6666666666666666,12.65,15.8993,3.2493,0.2941,0.3092
0.0729,6230.0,PUT,15.2,16.8,1.6,0.6249999999999994,16.0,18.5495,2.5495,0.2714,0.2813
0.0729,6320.0,PUT,20.1,21.9,1.8,0.5555555555555565,21.0,21.2947,0.2947,0.26,0.261
