T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.054,200.0,0.010000000000000009,99.99999999999991,PUT,0.07,0.04,-0.03,0.5855,0.546
0.054,205.0,0.01999999999999999,50.00000000000003,PUT,0.09,0.06,-0.03,0.5583,0.5302
0.054,210.0,0.01999999999999999,50.00000000000003,PUT,0.11,0.08,-0.03,0.5323,0.5132
0.054,215.0,0.020000000000000018,49.99999999999996,PUT,0.14,0.11,-0.03,0.5091,0.495
0.054,220.0,0.020000000000000018,49.99999999999996,PUT,0.17,0.15,-0.02,0.4824,0.4754
0.054,230.0,0.010000000000000009,99.99999999999991,PUT,0.26,0.27,0.01,0.4293,0.432
0.054,235.0,0.030000000000000027,33.33333333333331,PUT,0.33,0.34,0.02,0.4048,0.4084
0.054,240.0,0.020000000000000018,49.99999999999996,PUT,0.41,0.44,0.03,0.3789,0.3837
0.054,245.0,0.020000000000000018,49.99999999999996,PUT,0.53,0.56,0.03,0.354,0.3584
0.054,250.0,0.030000000000000027,33.33333333333331,PUT,0.71,0.73,0.01,0.3314,0.3329
0.054,260.0,0.06000000000000005,16.666666666666654,PUT,1.44,1.31,-0.13,0.2922,0.2829
0.054,265.0,0.05999999999999961,16.666666666666774,PUT,2.15,1.82,-0.33,0.2773,0.2591
0.054,270.0,0.09999999999999964,10.000000000000036,PUT,3.25,2.62,-0.63,0.2656,0.2365
0.054,285.0,0.09999999999999964,10.000000000000036,CALL,3.3,2.31,-0.99,0.2281,0.1855
0.054,290.0,0.10999999999999988,9.0909090909091,CALL,1.82,1.1,-0.72,0.2216,0.1817
0.054,300.0,0.030000000000000027,33.33333333333331,CALL,0.53,0.23,-0.29,0.2241,0.1881
0.054,305.0,0.030000000000000027,33.33333333333331,CALL,0.28,0.11,-0.18,0.2297,0.1938
0.054,310.0,0.020000000000000018,49.99999999999996,CALL,0.17,0.05,-0.12,0.2394,0.2002
0.054,315.0,0.01999999999999999,50.00000000000003,CALL,0.1,0.02,-0.08,0.248,0.2069
0.073,195.0,0.01999999999999999,50.00000000000003,PUT,0.1,0.04,-0.06,0.5567,0.5042
0.073,205.0,0.020000000000000018,49.99999999999996,PUT,0.15,0.09,-0.06,0.5128,0.4782
0.073,210.0,0.030000000000000027,33.33333333333331,PUT,0.18,0.12,-0.06,0.4914,0.4641
0.073,215.0,0.02999999999999997,33.333333333333364,PUT,0.23,0.17,-0.06,0.469,0.4492
0.073,220.0,0.020000000000000018,49.99999999999996,PUT,0.27,0.23,-0.04,0.4454,0.4332
0.073,225.0,0.030000000000000027,33.33333333333331,PUT,0.33,0.3,-0.02,0.4218,0.4163
0.073,235.0,0.030000000000000027,33.33333333333331,PUT,0.49,0.51,0.02,0.3772,0.3797
0.073,240.0,0.030000000000000027,33.33333333333331,PUT,0.62,0.66,0.04,0.3558,0.3602
0.073,245.0,0.030000000000000027,33.33333333333331,PUT,0.81,0.85,0.05,0.3353,0.3402
0.073,250.0,0.029999999999999805,33.33333333333355,PUT,1.06,1.11,0.04,0.3164,0.3198
0.073,260.0,0.05999999999999983,16.666666666666714,PUT,2.03,1.91,-0.12,0.2852,0.2786
0.073,265.0,0.08000000000000007,12.49999999999999,PUT,2.87,2.54,-0.33,0.2725,0.258
0.073,270.0,0.15000000000000036,6.666666666666651,PUT,4.08,3.44,-0.63,0.2619,0.2378
0.073,285.0,0.09999999999999964,10.000000000000036,CALL,4.25,3.18,-1.07,0.2271,0.1888
0.073,290.0,0.13999999999999968,7.142857142857159,CALL,2.58,1.73,-0.85,0.22,0.1839
0.073,300.0,0.040000000000000036,24.99999999999998,CALL,0.86,0.5,-0.36,0.2169,0.1885
0.073,305.0,0.030000000000000027,33.33333333333331,CALL,0.49,0.27,-0.23,0.2198,0.1937
0.073,310.0,0.030000000000000027,33.33333333333331,CALL,0.29,0.15,-0.15,0.2252,0.1994
0.073,315.0,0.030000000000000027,33.33333333333331,CALL,0.18,0.08,-0.1,0.2327,0.2053
0.073,320.0,0.020000000000000004,49.99999999999999,CALL,0.12,0.04,-0.08,0.2409,0.2113
0.092,205.0,0.02999999999999997,33.333333333333364,PUT,0.21,0.12,-0.09,0.4809,0.4461
0.092,210.0,0.04000000000000001,24.999999999999996,PUT,0.26,0.17,-0.09,0.4608,0.434
0.092,215.0,0.040000000000000036,24.99999999999998,PUT,0.31,0.24,-0.07,0.4397,0.4212
0.092,220.0,0.040000000000000036,24.99999999999998,PUT,0.37,0.32,-0.05,0.4186,0.4078
0.092,225.0,0.040000000000000036,24.99999999999998,PUT,0.45,0.42,-0.03,0.3986,0.3936
0.092,235.0,0.040000000000000036,24.99999999999998,PUT,0.68,0.71,0.03,0.3593,0.3631
0.092,240.0,0.050000000000000044,19.999999999999982,PUT,0.85,0.92,0.06,0.3408,0.3468
0.092,245.0,0.04999999999999982,20.00000000000007,PUT,1.09,1.18,0.09,0.3235,0.3299
0.092,250.0,0.04999999999999982,20.00000000000007,PUT,1.44,1.51,0.08,0.3077,0.3124
0.092,255.0,0.06999999999999984,14.285714285714318,PUT,1.92,1.94,0.02,0.2934,0.2946
0.092,265.0,0.15000000000000036,6.666666666666651,PUT,3.52,3.22,-0.3,0.2692,0.2578
0.092,270.0,0.15000000000000036,6.666666666666651,PUT,4.83,4.19,-0.63,0.2602,0.2391
0.092,285.0,0.09999999999999964,10.000000000000036,CALL,5.15,4.01,-1.14,0.2277,0.1922
0.092,290.0,0.09999999999999964,10.000000000000036,CALL,3.35,2.37,-0.98,0.2209,0.1863
