T,K,Type,Market,Model,Err,IV_Mkt,IV_Model
0.047,5400.0,PUT,1.6,2.01,0.41,0.4541,0.4672
0.047,6670.0,PUT,50.2,45.49,-4.71,0.1974,0.1877
0.047,6975.0,CALL,31.65,30.25,-1.4,0.1397,0.1368
0.049,6375.0,PUT,17.55,14.6,-2.95,0.2476,0.2358
0.049,6850.0,CALL,95.35,89.28,-6.07,0.1677,0.1577
0.052,5400.0,PUT,2.15,2.27,0.12,0.446,0.4492
0.052,6650.0,PUT,51.9,46.33,-5.57,0.2016,0.1906
0.052,7000.0,CALL,28.55,26.79,-1.76,0.1374,0.1337
0.055,6350.0,PUT,20.05,15.86,-4.19,0.2541,0.2386
0.055,6890.0,CALL,81.8,72.99,-8.81,0.1649,0.1509
0.058,5210.0,PUT,2.0,1.95,-0.05,0.4771,0.4756
0.058,5925.0,PUT,7.2,5.57,-1.63,0.3317,0.3171
0.058,6195.0,PUT,13.8,10.58,-3.22,0.2806,0.2644
0.058,6365.0,PUT,22.65,17.83,-4.82,0.2511,0.2347
0.058,6540.0,PUT,40.25,33.27,-6.98,0.2227,0.2068
0.058,6715.0,PUT,73.45,64.8,-8.65,0.1942,0.1796
0.058,6885.0,CALL,88.7,77.94,-10.76,0.168,0.1513
0.058,7060.0,CALL,18.6,16.26,-2.34,0.133,0.1271
0.066,6125.0,PUT,12.75,11.08,-1.67,0.2816,0.2732
0.066,6890.0,CALL,89.3,82.96,-6.34,0.1596,0.1504
0.069,6225.0,PUT,17.65,15.22,-2.43,0.2637,0.2543
0.069,6940.0,CALL,66.5,60.77,-5.73,0.1509,0.1424
0.071,6575.0,PUT,52.65,47.43,-5.22,0.2104,0.2008
0.071,7100.0,CALL,15.75,15.57,-0.18,0.1248,0.1244
0.074,6930.0,CALL,77.05,70.0,-7.05,0.154,0.1441
0.077,6100.0,PUT,15.85,13.02,-2.83,0.283,0.2706
0.077,6560.0,PUT,55.15,48.72,-6.43,0.2144,0.203
0.077,6820.0,PUT,118.9,110.01,-8.89,0.1741,0.1623
0.077,7005.0,CALL,48.0,41.31,-6.69,0.1438,0.1333
0.085,5800.0,PUT,9.1,7.85,-1.25,0.3217,0.3132
0.085,7050.0,CALL,34.65,32.19,-2.46,0.1326,0.1285
0.096,5875.0,PUT,13.25,11.41,-1.84,0.3054,0.2963
0.096,6560.0,PUT,65.65,61.2,-4.45,0.2091,0.2023
