T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.043,5700.0,0.25,4.0,PUT,1.07,0.71,-0.36,0.3837,0.3665
0.043,6375.0,0.8000000000000007,1.249999999999999,PUT,6.0,7.87,1.87,0.2399,0.2534
0.043,6680.0,0.8999999999999986,1.111111111111113,PUT,23.35,28.76,5.41,0.188,0.2029
0.043,7090.0,0.6000000000000014,1.6666666666666627,CALL,11.6,15.66,4.06,0.1027,0.1141
0.045,6125.0,0.75,1.3333333333333333,PUT,3.33,3.37,0.04,0.2905,0.2911
0.045,6525.0,0.8000000000000007,1.249999999999999,PUT,12.9,16.3,3.4,0.2146,0.2284
0.045,6730.0,0.9000000000000057,1.111111111111104,PUT,32.65,37.88,5.23,0.1813,0.1933
0.045,7175.0,0.2999999999999998,3.3333333333333353,CALL,2.85,5.93,3.08,0.0953,0.1119
0.048,6225.0,0.8000000000000007,1.249999999999999,PUT,5.1,5.57,0.47,0.2695,0.2738
0.048,6625.0,1.0,1.0,PUT,22.5,26.45,3.95,0.2,0.2113
0.048,7075.0,1.0,1.0,CALL,19.9,22.82,2.92,0.1105,0.117
0.051,6125.0,0.5,2.0,PUT,4.75,4.37,-0.38,0.291,0.287
0.051,6500.0,0.9000000000000004,1.1111111111111107,PUT,15.85,17.62,1.77,0.2243,0.2308
0.051,6770.0,1.2000000000000028,0.8333333333333314,PUT,46.8,49.23,2.43,0.1802,0.1849
0.054,5300.0,0.25,4.0,PUT,1.18,0.34,-0.84,0.4598,0.4048
0.054,5675.0,0.4500000000000002,2.2222222222222214,PUT,2.17,1.08,-1.09,0.3815,0.3501
0.054,5840.0,0.6500000000000004,1.5384615384615377,PUT,2.98,1.85,-1.12,0.348,0.3261
0.054,5970.0,0.7000000000000002,1.4285714285714282,PUT,3.85,2.87,-0.98,0.3214,0.3074
0.054,6100.0,0.40000000000000036,2.499999999999998,PUT,5.1,4.49,-0.61,0.295,0.2888
0.054,6180.0,0.40000000000000036,2.499999999999998,PUT,6.2,5.96,-0.24,0.2793,0.2774
0.054,6260.0,0.8999999999999995,1.1111111111111118,PUT,7.85,7.94,0.09,0.2652,0.2658
0.054,6335.0,0.3999999999999986,2.500000000000009,PUT,9.8,10.42,0.62,0.2515,0.2549
0.054,6415.0,0.8999999999999986,1.111111111111113,PUT,12.95,13.95,1.0,0.2387,0.243
0.054,6490.0,0.5,2.0,PUT,16.85,18.37,1.52,0.2262,0.2316
0.054,6565.0,1.0,1.0,PUT,22.4,24.2,1.8,0.2146,0.2199
0.054,6645.0,1.0,1.0,PUT,30.5,32.48,1.98,0.2019,0.2067
0.054,6720.0,0.5999999999999943,1.6666666666666825,PUT,40.8,42.78,1.98,0.1896,0.1937
0.054,7075.0,0.6000000000000014,1.6666666666666627,CALL,27.7,26.23,-1.47,0.1203,0.1174
0.054,7150.0,0.3999999999999986,2.500000000000009,CALL,10.0,10.26,0.26,0.1087,0.1096
0.054,7230.0,0.40000000000000036,2.499999999999998,CALL,2.9,5.2,2.3,0.1032,0.1164
0.062,5900.0,0.7999999999999998,1.2500000000000002,PUT,3.9,3.19,-0.71,0.3203,0.3107
0.062,6375.0,1.0,1.0,PUT,12.8,15.41,2.61,0.2355,0.2463
0.062,6750.0,1.2999999999999972,0.7692307692307709,PUT,48.95,53.96,5.01,0.1779,0.1868
0.065,6000.0,1.0,1.0,PUT,5.3,4.9,-0.4,0.2998,0.2959
0.065,6500.0,1.0,1.0,PUT,21.2,24.89,3.69,0.2166,0.2272
0.065,7150.0,1.0,1.0,CALL,13.5,14.01,0.51,0.108,0.1093
0.067,6350.0,0.5,2.0,PUT,14.05,16.35,2.3,0.2391,0.2481
0.067,6750.0,0.7000000000000028,1.4285714285714228,PUT,53.65,57.92,4.27,0.1788,0.186
0.07,6100.0,0.9000000000000004,1.1111111111111107,PUT,7.95,8.01,0.06,0.28,0.2804
0.07,6700.0,1.2999999999999972,0.7692307692307709,PUT,47.65,51.29,3.64,0.1878,0.1943
0.073,5300.0,0.2999999999999998,3.3333333333333353,PUT,2.3,0.71,-1.59,0.4278,0.3741
0.073,5950.0,0.40000000000000036,2.499999999999998,PUT,6.5,5.48,-1.02,0.3067,0.2979
0.073,6350.0,0.5,2.0,PUT,17.05,18.56,1.51,0.2412,0.2465
0.073,6480.0,0.5,2.0,PUT,25.05,27.48,2.43,0.2218,0.2282
0.073,6620.0,0.5999999999999943,1.6666666666666825,PUT,39.0,41.83,2.83,0.2013,0.2069
0.073,6740.0,0.7000000000000028,1.4285714285714228,PUT,57.55,59.93,2.38,0.183,0.1869
0.073,7130.0,0.5,2.0,CALL,24.85,21.02,-3.83,0.1185,0.1111
0.073,7275.0,0.40000000000000036,2.499999999999998,CALL,4.4,6.63,2.23,0.1071,0.1169
0.081,6300.0,1.1000000000000014,0.909090909090908,PUT,16.05,18.99,2.94,0.2406,0.2508
0.081,6700.0,0.7000000000000028,1.4285714285714228,PUT,52.85,58.45,5.6,0.1833,0.1924
0.084,6100.0,1.0,1.0,PUT,10.5,11.41,0.91,0.2706,0.2752
0.092,5300.0,0.5,2.0,PUT,3.55,1.39,-2.16,0.4036,0.3587
0.092,5975.0,0.3999999999999986,2.500000000000009,PUT,9.9,9.65,-0.25,0.2886,0.2872
0.092,6375.0,0.5,2.0,PUT,24.95,27.98,3.03,0.2305,0.2382
0.092,6550.0,0.5999999999999943,1.6666666666666825,PUT,40.2,44.06,3.86,0.2068,0.214
0.092,6680.0,1.2999999999999972,0.7692307692307709,PUT,58.15,61.65,3.5,0.1888,0.1941
0.092,7080.0,1.4000000000000057,0.7142857142857114,CALL,53.5,47.34,-6.16,0.1287,0.1203
0.092,7225.0,0.3999999999999986,2.500000000000009,CALL,14.6,12.98,-1.62,0.1132,0.1094
0.1,6100.0,1.1000000000000014,0.909090909090908,PUT,13.95,15.68,1.73,0.2634,0.2703
0.1,6700.0,1.4000000000000057,0.7142857142857114,PUT,64.2,69.49,5.29,0.1826,0.19
0.11,4925.0,0.7000000000000002,1.4285714285714282,PUT,3.15,0.79,-2.36,0.4494,0.3834
0.11,5300.0,0.40000000000000036,2.499999999999998,PUT,5.2,2.34,-2.86,0.3896,0.3492
0.11,5625.0,0.9999999999999991,1.0000000000000009,PUT,7.7,5.62,-2.08,0.3347,0.3179
0.11,5760.0,0.8999999999999986,1.111111111111113,PUT,9.35,7.96,-1.39,0.3131,0.3043
0.11,5890.0,0.8999999999999986,1.111111111111113,PUT,11.95,11.04,-0.91,0.2952,0.2907
0.11,6020.0,1.0,1.0,PUT,15.2,15.19,-0.01,0.2766,0.2765
0.11,6150.0,0.5,2.0,PUT,19.65,20.78,1.13,0.2583,0.2618
0.11,6270.0,1.1000000000000014,0.909090909090908,PUT,25.85,27.63,1.78,0.2431,0.2476
0.11,6345.0,1.2999999999999972,0.7692307692307709,PUT,29.75,32.94,3.19,0.2311,0.2383
0.11,6425.0,1.4000000000000057,0.7142857142857114,PUT,36.1,39.69,3.59,0.221,0.228
0.11,6500.0,0.5999999999999943,1.6666666666666825,PUT,44.2,47.22,3.02,0.2128,0.218
0.11,6580.0,0.5999999999999943,1.6666666666666825,PUT,53.9,56.81,2.91,0.2024,0.2068
0.11,6655.0,1.8000000000000043,0.5555555555555542,PUT,64.1,67.56,3.46,0.191,0.1958
0.11,6735.0,1.9000000000000057,0.5263157894736826,PUT,78.55,81.34,2.79,0.18,0.1835
0.11,7085.0,1.4000000000000057,0.7142857142857114,CALL,65.2,56.97,-8.23,0.132,0.122
0.11,7165.0,1.5999999999999943,0.6250000000000022,CALL,36.4,29.29,-7.11,0.1221,0.1116
0.11,7250.0,0.5,2.0,CALL,18.45,15.16,-3.29,0.1164,0.1097
0.11,7380.0,0.40000000000000036,2.499999999999998,CALL,5.9,8.44,2.54,0.1126,0.1216
0.11,7550.0,0.3500000000000001,2.8571428571428563,CALL,1.62,6.02,4.4,0.1173,0.1456
0.13,5975.0,1.2000000000000028,0.8333333333333314,PUT,17.8,18.06,0.26,0.2754,0.2763
0.13,6375.0,1.4000000000000057,0.7142857142857114,PUT,39.8,42.89,3.09,0.2254,0.231
0.13,6640.0,1.5999999999999943,0.6250000000000022,PUT,71.8,74.86,3.06,0.1922,0.1961
0.13,6780.0,1.6999999999999886,0.588235294117651,PUT,99.25,100.73,1.48,0.1737,0.1753
0.13,7250.0,0.5,2.0,CALL,25.25,20.53,-4.72,0.1177,0.1098
0.141,4975.0,0.5,2.0,PUT,5.15,1.98,-3.17,0.4147,0.3662
0.141,5200.0,0.9000000000000004,1.1111111111111107,PUT,6.65,3.5,-3.15,0.3805,0.3468
0.141,5350.0,0.4999999999999991,2.0000000000000036,PUT,7.95,5.03,-2.92,0.3581,0.3335
0.141,5505.0,1.0,1.0,PUT,9.6,7.25,-2.35,0.335,0.3195
