T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.043,5700.0,0.25,4.0,PUT,1.07,0.3,-0.77,0.3837,0.3357
0.043,6375.0,0.8000000000000007,1.249999999999999,PUT,6.0,7.0,1.0,0.2399,0.2474
0.043,6680.0,0.8999999999999986,1.111111111111113,PUT,23.35,27.49,4.14,0.188,0.1995
0.043,7090.0,0.6000000000000014,1.6666666666666627,CALL,11.6,17.86,6.26,0.1027,0.1199
0.045,6125.0,0.75,1.3333333333333333,PUT,3.33,2.63,-0.7,0.2905,0.2803
0.045,6525.0,0.8000000000000007,1.249999999999999,PUT,12.9,15.2,2.3,0.2146,0.2241
0.045,6730.0,0.9000000000000057,1.111111111111104,PUT,32.65,36.5,3.85,0.1813,0.1902
0.045,7175.0,0.2999999999999998,3.3333333333333353,CALL,2.85,6.72,3.87,0.0953,0.1154
0.048,6225.0,0.8000000000000007,1.249999999999999,PUT,5.1,4.69,-0.41,0.2695,0.2656
0.048,6625.0,1.0,1.0,PUT,22.5,25.15,2.65,0.2,0.2077
0.048,7075.0,1.0,1.0,CALL,19.9,24.9,5.0,0.1105,0.1215
0.051,6125.0,0.5,2.0,PUT,4.75,3.51,-1.24,0.291,0.2769
0.051,6500.0,0.9000000000000004,1.1111111111111107,PUT,15.85,16.42,0.57,0.2243,0.2264
0.051,6770.0,1.2000000000000028,0.8333333333333314,PUT,46.8,47.72,0.92,0.1802,0.182
0.054,5300.0,0.25,4.0,PUT,1.18,0.1,-1.08,0.4598,0.3638
0.054,5675.0,0.4500000000000002,2.2222222222222214,PUT,2.17,0.56,-1.62,0.3815,0.3256
0.054,5840.0,0.6500000000000004,1.5384615384615377,PUT,2.98,1.18,-1.8,0.348,0.3081
0.054,5970.0,0.7000000000000002,1.4285714285714282,PUT,3.85,2.07,-1.78,0.3214,0.2937
0.054,6100.0,0.40000000000000036,2.499999999999998,PUT,5.1,3.59,-1.51,0.295,0.2785
0.054,6180.0,0.40000000000000036,2.499999999999998,PUT,6.2,4.99,-1.21,0.2793,0.2688
0.054,6260.0,0.8999999999999995,1.1111111111111118,PUT,7.85,6.91,-0.94,0.2652,0.2587
0.054,6335.0,0.3999999999999986,2.500000000000009,PUT,9.8,9.32,-0.48,0.2515,0.2488
0.054,6415.0,0.8999999999999986,1.111111111111113,PUT,12.95,12.78,-0.17,0.2387,0.2379
0.054,6490.0,0.5,2.0,PUT,16.85,17.12,0.27,0.2262,0.2272
0.054,6565.0,1.0,1.0,PUT,22.4,22.87,0.47,0.2146,0.216
0.054,6645.0,1.0,1.0,PUT,30.5,31.05,0.55,0.2019,0.2033
0.054,6720.0,0.5999999999999943,1.6666666666666825,PUT,40.8,41.27,0.47,0.1896,0.1906
0.054,7075.0,0.6000000000000014,1.6666666666666627,CALL,27.7,28.26,0.56,0.1203,0.1214
0.054,7150.0,0.3999999999999986,2.500000000000009,CALL,10.0,12.22,2.22,0.1087,0.1154
0.054,7230.0,0.40000000000000036,2.499999999999998,CALL,2.9,5.0,2.1,0.1032,0.1154
