Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt
PUT,0.545,5225.0,53.5,3.84,-49.66,3.84,-49.66,0.2989
PUT,0.545,5650.0,80.65,16.13,-64.52,16.13,-64.52,0.2665
PUT,0.545,6175.0,136.89999999999998,66.35,-70.55,66.35,-70.55,0.2286
PUT,0.545,6925.0,296.1,285.27,-10.83,285.27,-10.83,0.1728
CALL,0.545,6950.0,387.0,379.86,-7.14,379.86,-7.14,0.1707
CALL,0.545,7325.0,180.45,216.87,36.42,216.87,36.42,0.1457
CALL,0.545,7600.0,86.75,134.86,48.11,134.86,48.11,0.1333
CALL,0.545,7850.0,40.349999999999994,83.42,43.07,83.42,43.07,0.1267
PUT,0.621,5225.0,62.35,5.93,-56.42,5.93,-56.42,0.2931
PUT,0.621,5650.0,92.75,21.73,-71.02,21.73,-71.02,0.2629
PUT,0.621,6175.0,154.0,78.82,-75.18,78.82,-75.18,0.2277
PUT,0.621,6925.0,318.6,303.17,-15.43,303.17,-15.43,0.176
CALL,0.621,6950.0,422.1,413.58,-8.52,413.58,-8.52,0.1726
CALL,0.621,7350.0,200.7,238.89,38.19,238.89,38.19,0.1476
CALL,0.621,7625.0,103.1,154.96,51.86,154.96,51.86,0.1354
CALL,0.621,7875.0,51.5,100.43,48.93,100.43,48.93,0.1285
PUT,0.654,5250.0,67.95,7.49,-60.46,7.49,-60.46,0.2898
PUT,0.654,6315.0,183.85,111.06,-72.79,111.06,-72.79,0.2186
PUT,0.654,6560.0,231.15,174.14,-57.01,174.14,-57.01,0.2021
PUT,0.654,6940.0,331.85,316.19,-15.66,316.19,-15.66,0.1764
CALL,0.654,6945.0,441.3,431.56,-9.74,431.56,-9.74,0.1737
CALL,0.654,7125.0,330.85,344.03,13.18,344.03,13.18,0.1621
CALL,0.654,7245.0,290.75,292.91,2.16,292.91,2.16,0.1662
CALL,0.654,7345.0,216.45,254.6,38.15,254.6,38.15,0.1488
PUT,0.698,5225.0,71.6,8.43,-63.17,8.43,-63.17,0.2889
PUT,0.698,5650.0,105.2,27.75,-77.45,27.75,-77.45,0.2606
PUT,0.698,6175.0,170.75,91.05,-79.7,91.05,-79.7,0.2273
PUT,0.698,6925.0,338.65,319.98,-18.67,319.98,-18.67,0.1784
CALL,0.698,6950.0,458.9,445.55,-13.35,445.55,-13.35,0.1758
CALL,0.698,7350.0,233.0,268.56,35.56,268.56,35.56,0.1514
CALL,0.698,7625.0,127.3,180.89,53.59,180.89,53.59,0.1387
CALL,0.698,7875.0,68.2,122.06,53.86,122.06,53.86,0.1314
PUT,0.794,5225.0,82.9,12.11,-70.79,12.11,-70.79,0.2842
PUT,0.794,5650.0,120.5,35.79,-84.71,35.79,-84.71,0.2581
PUT,0.794,6175.0,191.0,106.23,-84.77,106.23,-84.77,0.2269
PUT,0.794,6925.0,363.45000000000005,340.43,-23.02,340.43,-23.02,0.1812
CALL,0.794,6950.0,502.0,482.22,-19.78,482.22,-19.78,0.1796
CALL,0.794,7350.0,272.5,303.35,30.85,303.35,30.85,0.156
CALL,0.794,7625.0,159.3,212.07,52.77,212.07,52.77,0.1432
CALL,0.794,7875.0,91.15,148.9,57.75,148.9,57.75,0.1352
PUT,0.871,5225.0,91.0,15.38,-75.62,15.38,-75.62,0.2804
PUT,0.871,5650.0,131.05,42.43,-88.62,42.43,-88.62,0.2555
PUT,0.871,6175.0,205.35000000000002,117.96,-87.39,117.96,-87.39,0.2262
PUT,0.871,6925.0,380.8,355.64,-25.16,355.64,-25.16,0.1826
CALL,0.871,6950.0,532.35,510.36,-21.99,510.36,-21.99,0.1812
CALL,0.871,7350.0,301.6,330.31,28.71,330.31,28.71,0.1586
CALL,0.871,7650.0,175.10000000000002,229.24,54.14,229.24,54.14,0.145
CALL,0.871,7900.0,103.94999999999999,164.77,60.82,164.77,60.82,0.137
PUT,0.906,5250.0,96.25,18.0,-78.25,18.0,-78.25,0.2771
PUT,0.906,6085.0,194.8,105.16,-89.64,105.16,-89.64,0.2302
PUT,0.906,6490.0,271.85,201.93,-69.92,201.93,-69.92,0.2077
PUT,0.906,6940.0,391.05,367.94,-23.11,367.94,-23.11,0.182
CALL,0.906,6945.0,548.75,527.31,-21.44,527.31,-21.44,0.1813
CALL,0.906,7290.0,352.75,367.65,14.9,367.65,14.9,0.1651
CALL,0.906,7610.0,199.2,253.51,54.31,253.51,54.31,0.1467
CALL,0.906,7990.0,92.0,155.57,63.57,155.57,63.57,0.135
CALL,0.906,8600.0,23.299999999999997,63.95,40.65,63.95,40.65,0.1281
PUT,0.947,5225.0,97.9,18.66,-79.24,18.66,-79.24,0.2768
PUT,0.947,5650.0,139.65,48.6,-91.05,48.6,-91.05,0.2529
