T,K,Market,Ana_Price,Ana_Err,MC_Price,MC_Err,IV_Mkt
0.041,5200.0,1730.36,1756.56,26.2,1756.23,25.87,0.5192
0.041,6200.0,735.09,734.52,-0.56,734.1,-0.99,0.2846
0.041,6640.0,311.81,305.35,-6.46,306.81,-5.0,0.1987
0.041,6810.0,166.57,166.68,0.11,169.53,2.96,0.1676
0.041,6925.0,84.2,89.52,5.32,90.14,5.94,0.1438
0.041,7030.0,30.65,36.77,6.12,35.36,4.71,0.1218
0.044,5275.0,1656.08,1681.44,25.36,1682.13,26.04,0.4927
0.044,5550.0,1381.93,1396.26,14.33,1396.09,14.15,0.4283
0.044,5725.0,1207.77,1220.51,12.74,1220.78,13.01,0.3924
0.044,5890.0,1043.64,1048.55,4.91,1048.19,4.55,0.3544
0.044,6060.0,874.94,879.99,5.05,880.88,5.94,0.3166
0.044,6185.0,750.89,751.02,0.12,750.65,-0.24,0.2844
0.044,6290.0,647.52,644.76,-2.76,645.32,-2.2,0.2625
0.044,6390.0,549.68,548.37,-1.31,550.4,0.72,0.2414
0.044,6490.0,454.39,451.61,-2.78,453.44,-0.95,0.2278
0.044,6590.0,359.35,354.26,-5.09,355.52,-3.83,0.2053
0.044,6695.0,264.48,259.41,-5.07,261.66,-2.82,0.1863
0.044,6795.0,179.94,180.47,0.53,183.49,3.55,0.1672
0.044,6895.0,107.35,111.45,4.1,112.88,5.52,0.1511
0.044,7000.0,47.8,52.52,4.72,51.37,3.57,0.132
0.044,7100.0,12.5,17.17,4.67,15.76,3.26,0.1097
0.044,7200.0,2.1,3.72,1.62,3.95,1.85,0.1002
0.052,5400.0,1533.08,1555.3,22.22,1555.27,22.19,0.4388
0.052,6250.0,689.75,687.37,-2.38,687.53,-2.22,0.26
0.052,6680.0,283.58,279.4,-4.18,281.63,-1.95,0.1845
0.052,6850.0,145.06,149.97,4.91,152.61,7.54,0.1548
0.052,7020.0,42.3,51.79,9.49,50.05,7.75,0.1223
0.055,5200.0,1732.95,1758.87,25.93,1758.35,25.4,0.4774
0.055,6250.0,691.08,688.41,-2.67,688.64,-2.44,0.2595
0.055,6680.0,286.46,281.82,-4.65,284.1,-2.36,0.1854
0.055,6850.0,148.46,152.72,4.26,155.41,6.95,0.1559
0.055,7025.0,43.15,52.16,9.01,50.25,7.1,0.1231
0.055,7325.0,0.68,2.78,2.11,4.05,3.37,0.1027
0.057,6225.0,716.86,714.98,-1.89,715.03,-1.83,0.2634
