T,K,Market,Model,Err,IV_Mkt
0.041,5250.0,1690.62,1840.49,149.86,0.5192
0.041,5575.0,1366.57,1461.21,94.64,0.4388
0.041,5740.0,1202.35,1273.91,71.57,0.4036
0.041,5910.0,1033.23,1084.43,51.2,0.363
0.041,6070.0,874.4,909.22,34.82,0.3256
0.041,6190.0,755.43,779.74,24.31,0.2954
0.041,6290.0,656.74,673.11,16.38,0.2718
0.041,6385.0,563.58,572.94,9.36,0.2506
0.041,6485.0,467.73,468.9,1.16,0.2354
0.041,6585.0,373.59,367.0,-6.59,0.2174
0.041,6680.0,285.33,273.8,-11.53,0.1945
0.041,6780.0,201.44,183.12,-18.31,0.1808
0.041,6880.0,121.34,106.17,-15.17,0.1553
0.041,6975.0,62.95,52.36,-10.59,0.1391
0.041,7075.0,18.6,19.65,1.05,0.1135
0.041,7175.0,3.0,7.59,4.59,0.0992
0.049,5600.0,1343.41,1434.45,91.04,0.408
0.049,6275.0,674.5,691.11,16.61,0.2634
0.049,6690.0,282.51,269.33,-13.18,0.1878
0.049,6850.0,150.75,134.95,-15.8,0.1583
0.049,7020.0,44.0,41.34,-2.66,0.123
0.052,5200.0,1742.44,1902.43,159.99,0.4905
0.052,6250.0,700.2,718.34,18.14,0.2667
0.052,6675.0,298.32,284.94,-13.38,0.1906
0.052,6840.0,161.69,144.68,-17.01,0.1612
0.052,7010.0,51.4,47.29,-4.11,0.1259
0.052,7250.0,1.65,7.82,6.17,0.0981
0.055,6200.0,750.48,772.31,21.84,0.2756
0.055,6700.0,279.4,263.52,-15.88,0.1872
0.055,6860.0,150.32,132.64,-17.69,0.1588
0.055,7025.0,47.5,43.8,-3.7,0.1247
0.057,5400.0,1544.43,1667.12,122.69,0.4407
0.057,6375.0,581.96,587.93,5.97,0.244
0.057,6770.0,224.91,204.27,-20.64,0.1784
0.057,6930.0,106.65,90.44,-16.21,0.1488
0.057,7100.0,24.2,24.14,-0.06,0.1166
0.06,5280.0,1664.37,1808.78,144.41,0.4602
0.06,5450.0,1495.21,1609.4,114.2,0.4245
0.06,5610.0,1336.21,1425.26,89.04,0.3929
0.06,5775.0,1172.38,1238.76,66.38,0.3585
0.06,5940.0,1009.0,1055.59,46.58,0.3256
0.06,6100.0,851.21,881.07,29.85,0.2942
0.06,6205.0,748.25,768.21,19.97,0.2741
0.06,6305.0,651.02,662.07,11.05,0.2561
0.06,6405.0,554.9,557.49,2.6,0.2384
0.06,6500.0,465.41,460.11,-5.3,0.223
0.06,6600.0,373.83,360.8,-13.04,0.207
0.06,6700.0,285.91,266.92,-18.98,0.1903
0.06,6795.0,207.57,185.97,-21.6,0.1741
0.06,6895.0,133.19,113.92,-19.28,0.1562
0.06,6995.0,71.0,60.05,-10.95,0.1369
0.06,7090.0,30.15,28.0,-2.15,0.1208
0.06,7190.0,8.7,12.32,3.62,0.1087
0.06,7290.0,2.15,8.81,6.66,0.1049
0.068,6050.0,902.36,936.92,34.56,0.2912
0.068,6550.0,422.73,413.29,-9.44,0.2078
0.068,6900.0,134.47,117.55,-16.93,0.1511
0.068,7075.0,38.15,36.94,-1.21,0.1196
0.071,6175.0,780.92,802.64,21.72,0.2678
0.071,6700.0,292.51,273.59,-18.91,0.1846
0.071,6950.0,103.3,90.65,-12.65,0.1411
0.071,7300.0,2.9,10.27,7.37,0.1036
0.074,6475.0,495.46,490.12,-5.34,0.2189
0.074,6875.0,157.46,138.02,-19.45,0.1565
0.074,7125.0,26.55,27.46,0.91,0.1154
0.077,6300.0,662.55,671.28,8.73,0.2463
0.077,6850.0,178.72,157.2,-21.52,0.1618
0.077,7100.0,36.65,34.83,-1.82,0.1204
0.079,5700.0,1251.19,1326.45,75.26,0.3509
0.079,6250.0,712.36,724.56,12.2,0.2557
0.079,6480.0,495.29,486.96,-8.33,0.2203
0.079,6650.0,343.09,323.19,-19.9,0.1945
0.079,6800.0,219.79,196.0,-23.78,0.1713
0.079,6895.0,149.87,129.18,-20.68,0.1555
0.079,6995.0,87.45,74.4,-13.05,0.1389
0.079,7125.0,32.1,30.19,-1.91,0.1205
0.079,7325.0,3.7,11.28,7.58,0.108
0.088,6400.0,572.57,570.92,-1.65,0.2256
0.088,6900.0,150.45,132.33,-18.12,0.1511
0.09,6100.0,861.1,887.42,26.32,0.2708
0.099,5600.0,1354.84,1443.81,88.98,0.3507
0.099,6225.0,744.72,756.12,11.39,0.2517
0.099,6530.0,461.69,445.83,-15.86,0.2091
0.099,6700.0,314.86,290.26,-24.61,0.1848
0.099,6870.0,182.93,159.74,-23.19,0.1593
0.099,7025.0,86.1,74.39,-11.71,0.1357
0.099,7190.0,25.4,26.2,0.8,0.1169
0.107,6200.0,770.94,784.71,13.77,0.2489
0.107,6850.0,201.91,179.08,-22.84,0.1603
0.107,7500.0,1.75,17.26,15.51,0.1107
0.118,5610.0,1349.63,1436.05,86.42,0.3355
0.118,5790.0,1172.87,1233.17,60.3,0.3073
0.118,5950.0,1017.12,1056.38,39.27,0.2849
0.118,6120.0,853.41,872.5,19.09,0.2617
0.118,6275.0,705.94,709.16,3.23,0.2393
0.118,6370.0,617.7,611.75,-5.95,0.2271
0.118,6470.0,527.34,512.22,-15.11,0.2153
0.118,6570.0,439.32,416.85,-22.47,0.2027
0.118,6665.0,358.29,331.46,-26.82,0.1898
0.118,6765.0,277.12,248.95,-28.17,0.1756
0.118,6865.0,202.06,176.3,-25.76,0.1613
0.118,6960.0,138.1,118.67,-19.43,0.1472
0.118,7060.0,82.1,71.99,-10.11,0.1328
0.118,7160.0,42.8,40.54,-2.26,0.1218
0.118,7275.0,18.15,21.66,3.51,0.1154
0.118,7440.0,4.6,16.46,11.86,0.1125
0.137,5200.0,1757.97,1917.22,159.25,0.3876
0.137,6150.0,832.34,845.34,13.0,0.2524
0.137,6580.0,441.62,416.83,-24.78,0.1987
0.137,6775.0,281.85,252.97,-28.89,0.173
0.137,6940.0,164.15,142.16,-21.99,0.1508
0.137,7100.0,76.8,67.87,-8.93,0.1309
0.137,7550.0,3.05,21.03,17.98,0.1136
0.148,5350.0,1611.89,1741.49,129.6,0.3566
0.148,5525.0,1439.9,1538.45,98.55,0.3311
0.148,5660.0,1309.69,1384.63,74.94,0.3207
0.148,5765.0,1205.56,1266.68,61.12,0.2984
0.148,5870.0,1103.64,1150.25,46.62,0.284
0.148,6030.0,949.86,975.97,26.11,0.2635
0.148,6180.0,807.98,816.57,8.59,0.2453
0.148,6275.0,719.45,718.11,-1.34,0.2337
0.148,6375.0,627.85,617.12,-10.73,0.2216
0.148,6475.0,538.24,519.59,-18.65,0.2094
0.148,6570.0,455.36,431.06,-24.3,0.1976
0.148,6670.0,371.26,343.47,-27.79,0.1849
0.148,6770.0,291.61,263.21,-28.4,0.1721
0.148,6865.0,220.88,195.45,-25.42,0.1596
0.148,6965.0,153.45,134.92,-18.53,0.1459
0.148,7065.0,97.55,87.14,-10.41,0.1336
0.148,7165.0,55.65,53.03,-2.62,0.1234
0.148,7260.0,29.8,32.91,3.11,0.1165
0.148,7360.0,14.35,22.57,8.22,0.1123
0.148,7460.0,6.7,20.07,13.37,0.1107
0.148,7575.0,2.98,22.73,19.75,0.1122
0.148,7820.0,1.07,36.81,35.73,0.1276
0.194,5675.0,1309.64,1380.6,70.97,0.2976
0.194,5860.0,1131.61,1175.12,43.51,0.2749
0.194,6025.0,975.25,996.58,21.33,0.2563
0.194,6190.0,821.48,823.46,1.98,0.2378
0.194,6350.0,676.07,662.33,-13.74,0.2201
0.194,6465.0,574.35,551.96,-22.39,0.2071
0.194,6565.0,487.77,460.76,-27.0,0.195
0.194,6660.0,409.1,379.23,-29.87,0.1842
0.194,6760.0,330.61,299.95,-30.66,0.1732
0.194,6860.0,256.78,228.75,-28.03,0.1617
0.194,6955.0,193.4,169.91,-23.49,0.1514
0.194,7055.0,133.35,118.53,-14.82,0.1394
0.194,7155.0,86.55,78.94,-7.61,0.1304
0.194,7310.0,37.05,41.07,4.02,0.1185
0.194,7475.0,13.5,26.82,13.32,0.1135
0.23,5200.0,1783.06,1940.69,157.63,0.3468
0.23,5530.0,1462.45,1555.68,93.23,0.3068
0.23,5775.0,1227.37,1280.24,52.87,0.2791
0.23,5980.0,1033.61,1057.38,23.77,0.2568
0.23,6150.0,876.1,878.96,2.87,0.2389
0.23,6325.0,717.87,703.16,-14.71,0.2205
0.23,6455.0,604.17,579.31,-24.87,0.2072
0.23,6560.0,515.16,484.64,-30.52,0.1962
0.23,6660.0,433.01,399.94,-33.06,0.1853
0.23,6765.0,351.05,317.9,-33.15,0.174
0.23,6875.0,271.03,240.94,-30.09,0.1623
0.23,6975.0,204.35,180.29,-24.06,0.1514
0.23,7080.0,143.65,127.41,-16.24,0.1409
0.23,7210.0,84.6,78.61,-5.99,0.1297
0.23,7330.0,47.0,50.0,3.0,0.1216
0.23,7455.0,23.75,34.92,11.17,0.1164
0.23,7615.0,9.45,31.13,21.68,0.1138
0.271,5250.0,1745.17,1890.77,145.6,0.3307
0.271,5750.0,1265.44,1319.18,53.74,0.2758
0.271,5940.0,1087.53,1112.87,25.34,0.257
0.271,6100.0,939.92,944.91,5.0,0.2408
0.271,6270.0,786.81,773.65,-13.16,0.2241
0.271,6430.0,647.84,621.09,-26.76,0.2091
0.271,6575.0,525.93,492.12,-33.81,0.1944
0.271,6675.0,445.08,409.56,-35.51,0.184
0.271,6780.0,364.82,329.59,-35.23,0.1737
0.271,6890.0,286.31,254.38,-31.93,0.1629
0.271,6990.0,221.8,194.73,-27.07,0.1537
0.271,7090.0,163.25,144.35,-18.9,0.1438
0.271,7260.0,87.4,81.74,-5.66,0.1308
0.271,7420.0,42.55,49.06,6.51,0.122
0.271,7875.0,4.1,45.18,41.08,0.1161
0.309,5775.0,1255.29,1302.61,47.31,0.2689
0.309,6250.0,822.36,808.41,-13.95,0.2244
0.309,6625.0,506.2,469.4,-36.8,0.1894
0.309,6790.0,379.46,342.89,-36.57,0.1737
0.309,6950.0,268.25,238.19,-30.06,0.1586
0.309,7125.0,166.15,147.99,-18.16,0.1436
0.309,7700.0,14.95,41.77,26.82,0.1169
0.364,5525.0,1508.42,1595.53,87.11,0.2874
0.364,6020.0,1051.23,1059.48,8.26,0.2431
0.364,6180.0,908.79,898.2,-10.6,0.2292
0.364,6340.0,770.06,744.69,-25.37,0.2152
0.364,6510.0,627.96,592.05,-35.91,0.2004
0.364,6675.0,496.74,456.61,-40.14,0.1858
0.364,6840.0,374.78,336.56,-38.22,0.1714
0.364,7000.0,266.95,237.79,-29.16,0.1569
0.364,7170.0,171.95,154.96,-16.99,0.1437
0.364,7330.0,103.6,99.74,-3.86,0.1332
0.364,7675.0,26.6,50.56,23.96,0.12
0.397,5300.0,1730.24,1861.94,131.69,0.3038
0.397,5800.0,1263.04,1301.51,38.47,0.2597
0.397,6100.0,992.85,989.76,-3.1,0.2346
0.397,6275.0,840.37,819.12,-21.25,0.22
0.397,6440.0,701.5,667.82,-33.67,0.2063
0.397,6555.0,607.8,568.96,-38.84,0.1965
0.397,6665.0,521.28,480.29,-40.99,0.1871
0.397,6775.0,438.92,398.19,-40.73,0.1779
0.397,6870.0,371.18,333.19,-37.99,0.1698
0.397,6970.0,301.2,271.33,-29.87,0.1596
0.397,7075.0,237.6,214.28,-23.32,0.1515
0.397,7230.0,157.95,146.07,-11.88,0.1407
0.397,7650.0,35.95,58.16,22.21,0.1214
0.444,5400.0,1648.91,1758.11,109.2,0.2904
0.444,5900.0,1189.01,1210.18,21.17,0.2491
0.444,6200.0,925.01,908.79,-16.22,0.2253
0.444,6390.0,764.35,732.17,-32.18,0.2102
0.444,6560.0,626.27,585.98,-40.29,0.1963
0.444,6720.0,502.93,460.71,-42.23,0.1833
0.444,6880.0,387.9,349.57,-38.33,0.1703
0.444,7070.0,265.95,239.06,-26.89,0.1552
0.444,7225.0,183.25,168.38,-14.87,0.1444
0.444,7450.0,94.8,99.04,4.24,0.1317
0.444,8000.0,12.35,64.94,52.59,0.1186
0.539,5500.0,1583.75,1670.28,86.53,0.2756
0.539,6000.0,1136.49,1139.6,3.11,0.239
0.539,6500.0,719.84,677.45,-42.39,0.2028
0.539,6975.0,373.25,336.24,-37.01,0.167
0.539,7475.0,122.95,126.28,3.33,0.1365
0.539,8100.0,16.9,78.94,62.04,0.1215
0.616,5525.0,1583.48,1663.68,80.2,0.2698
0.616,6025.0,1143.06,1141.11,-1.95,0.2356
0.616,6525.0,734.49,689.18,-45.31,0.2019
0.616,7000.0,393.35,356.39,-36.96,0.1679
0.616,7500.0,141.7,146.65,4.95,0.1388
0.616,8200.0,18.7,91.59,72.89,0.1226
0.649,5650.0,1481.28,1537.29,56.01,0.2599
0.649,6125.0,1071.18,1055.96,-15.23,0.2289
0.649,6365.0,874.99,837.25,-37.75,0.2132
0.649,6465.0,795.64,752.06,-43.58,0.2064
0.649,6560.0,722.02,674.75,-47.27,0.2
0.649,6660.0,646.82,597.5,-49.32,0.1933
0.649,6760.0,574.21,524.79,-49.42,0.1866
0.649,6860.0,503.46,456.98,-46.48,0.1795
0.649,6980.0,420.75,382.52,-38.23,0.1701
0.649,7085.0,356.1,323.98,-32.12,0.1636
0.649,7180.0,300.9,276.61,-24.29,0.1574
0.649,7280.0,248.3,232.7,-15.6,0.1515
0.649,7500.0,153.45,158.13,4.68,0.1403
0.693,5325.0,1785.94,1907.5,121.56,0.2802
0.693,5825.0,1341.84,1367.15,25.3,0.2474
