T,K,Market,Model,Err,IV_Mkt,IV_Model
0.041,5250.0,1699.73,1713.83,14.1,0.784,0.5177
0.041,5670.0,1281.0,1287.83,6.83,0.538,0.4155
0.041,5830.0,1121.67,1126.7,5.02,0.4605,0.3774
0.041,5990.0,962.59,966.09,3.49,0.3909,0.3405
0.041,6145.0,808.83,810.89,2.06,0.3295,0.3048
0.041,6245.0,709.83,710.72,0.89,0.29,0.2806
0.041,6340.0,616.43,617.1,0.68,0.2662,0.2606
0.041,6440.0,519.03,518.4,-0.63,0.2368,0.2408
0.041,6540.0,424.33,422.25,-2.08,0.2176,0.2272
0.041,6635.0,334.68,332.48,-2.2,0.1975,0.2052
0.041,6735.0,247.63,243.16,-4.47,0.1809,0.1924
0.041,6835.0,166.18,160.73,-5.46,0.1634,0.1744
0.041,6930.0,96.28,93.61,-2.67,0.147,0.1518
0.041,7030.0,36.1,40.25,4.15,0.129,0.1209
0.041,7130.0,8.7,10.58,1.88,0.1119,0.1055
0.041,7225.0,1.5,2.69,1.19,0.1101,0.0992
0.049,6075.0,880.05,881.99,1.94,0.3266,0.3051
0.049,6575.0,394.57,394.24,-0.33,0.2078,0.209
0.049,6780.0,214.1,213.22,-0.88,0.1733,0.1751
0.049,6950.0,80.8,89.96,9.16,0.1441,0.1292
0.049,7120.0,12.15,16.58,4.43,0.1139,0.1023
0.052,6025.0,930.08,932.62,2.55,0.3401,0.3125
0.052,6525.0,443.04,442.34,-0.7,0.2148,0.2175
0.052,6770.0,225.02,223.78,-1.23,0.1748,0.1773
0.052,6930.0,106.48,104.9,-1.58,0.1474,0.1499
0.052,7100.0,18.4,23.22,4.82,0.1172,0.1066
0.055,5975.0,980.09,983.01,2.92,0.352,0.321
0.055,6475.0,491.76,490.68,-1.08,0.2216,0.2259
0.055,6790.0,211.6,209.87,-1.73,0.1715,0.1747
0.055,6950.0,87.15,94.98,7.83,0.1442,0.1321
0.055,7125.0,14.65,18.18,3.53,0.1137,0.1052
0.057,6175.0,783.42,784.16,0.74,0.2863,0.2808
0.057,6650.0,333.59,330.4,-3.19,0.1926,0.2003
0.057,6860.0,162.09,158.03,-4.06,0.1594,0.1659
0.057,7025.0,52.2,56.3,4.1,0.1312,0.1247
0.06,5210.0,1740.63,1754.49,13.86,0.6666,0.4728
0.06,5375.0,1576.37,1586.99,10.62,0.5828,0.4384
0.06,5540.0,1412.27,1419.98,7.71,0.505,0.4051
0.06,5700.0,1253.35,1258.59,5.23,0.4362,0.3734
0.06,5870.0,1084.76,1087.82,3.06,0.3714,0.3391
0.06,6030.0,926.62,928.1,1.48,0.3207,0.3078
0.06,6160.0,798.66,799.17,0.51,0.2859,0.2823
0.06,6260.0,700.93,700.32,-0.62,0.2602,0.2638
0.06,6360.0,604.31,603.29,-1.02,0.2421,0.2468
0.06,6455.0,513.77,511.75,-2.02,0.2233,0.2308
0.06,6555.0,420.84,418.33,-2.51,0.208,0.2153
0.06,6650.0,335.51,332.03,-3.48,0.1923,0.2003
0.06,6750.0,250.23,246.46,-3.77,0.1772,0.1843
0.06,6850.0,171.86,167.7,-4.15,0.1611,0.1677
0.06,6945.0,100.0,102.59,2.59,0.1451,0.1413
0.06,7045.0,46.85,48.94,2.09,0.1276,0.1242
0.06,7145.0,15.95,16.29,0.34,0.1117,0.1109
0.06,7240.0,4.3,5.11,0.81,0.1076,0.1037
0.068,5200.0,1749.34,1763.28,13.95,0.6307,0.4519
0.068,6325.0,638.22,638.16,-0.06,0.2426,0.2428
0.068,6800.0,212.13,211.84,-0.29,0.1692,0.1697
0.068,6980.0,82.55,87.76,5.21,0.1393,0.1321
0.068,7350.0,1.32,2.08,0.75,0.11,0.1025
0.071,6425.0,543.52,543.08,-0.44,0.2252,0.2267
0.071,6870.0,161.29,160.81,-0.48,0.1575,0.1582
0.071,7050.0,50.35,53.44,3.09,0.1272,0.1226
0.074,5800.0,1152.73,1156.48,3.75,0.3663,0.3328
0.074,6675.0,317.94,316.98,-0.96,0.1869,0.1887
0.074,6960.0,99.9,102.87,2.97,0.1426,0.1386
0.074,7325.0,2.55,3.1,0.55,0.108,0.1043
0.077,6575.0,406.96,405.98,-0.97,0.2017,0.2039
0.077,6950.0,109.2,110.53,1.33,0.1442,0.1424
0.077,7300.0,4.0,4.33,0.33,0.1073,0.1056
0.079,5950.0,1004.16,1005.35,1.19,0.3123,0.3041
0.079,6390.0,578.51,577.11,-1.4,0.2283,0.2326
0.079,6550.0,430.88,428.98,-1.89,0.2046,0.2088
0.079,6720.0,283.33,281.38,-1.95,0.1799,0.1831
0.079,6835.0,192.57,191.14,-1.43,0.163,0.165
0.079,6935.0,123.15,121.4,-1.75,0.1465,0.1488
0.079,7035.0,66.75,64.82,-1.93,0.1299,0.1325
0.079,7180.0,18.65,16.27,-2.38,0.1096,0.1148
0.088,5500.0,1450.46,1457.94,7.48,0.4402,0.3717
0.088,6600.0,389.89,390.35,0.46,0.1971,0.1962
0.088,7075.0,51.85,52.27,0.42,0.124,0.1235
0.09,6825.0,207.14,208.0,0.86,0.1648,0.1637
0.099,5900.0,1059.07,1060.05,0.98,0.3046,0.2991
0.099,6375.0,602.66,601.22,-1.44,0.2259,0.2296
0.099,6590.0,408.04,406.65,-1.39,0.1976,0.1999
0.099,6760.0,265.77,264.56,-1.2,0.1741,0.1757
0.099,6920.0,148.25,147.06,-1.19,0.15,0.1514
0.099,7080.0,60.05,57.29,-2.76,0.1245,0.128
0.099,7350.0,5.55,5.04,-0.51,0.1076,0.1097
0.107,6475.0,513.79,513.86,0.08,0.2115,0.2113
0.107,6975.0,115.75,118.45,2.7,0.1419,0.1389
0.118,5325.0,1630.22,1639.44,9.22,0.4448,0.378
0.118,5670.0,1289.97,1293.24,3.27,0.3426,0.3236
0.118,5830.0,1133.57,1134.46,0.89,0.3061,0.3017
0.118,5990.0,977.92,977.34,-0.58,0.2762,0.2785
0.118,6160.0,814.71,813.02,-1.69,0.2504,0.2554
0.118,6300.0,682.67,680.57,-2.1,0.232,0.2369
0.118,6395.0,594.94,592.81,-2.12,0.2205,0.2247
0.118,6495.0,503.47,502.35,-1.12,0.2079,0.2099
0.118,6595.0,417.01,414.99,-2.02,0.1957,0.1987
0.118,6690.0,335.57,335.14,-0.44,0.1834,0.184
0.118,6790.0,257.06,255.73,-1.33,0.17,0.1715
0.118,6890.0,182.65,182.39,-0.25,0.1556,0.1559
0.118,6985.0,123.05,120.41,-2.64,0.1411,0.1439
0.118,7085.0,71.7,67.21,-4.49,0.1259,0.131
0.118,7185.0,35.95,30.98,-4.97,0.1131,0.1202
0.118,7320.0,11.95,9.91,-2.04,0.1072,0.1124
0.118,7480.0,3.4,3.79,0.39,0.1156,0.1135
0.137,5550.0,1412.75,1416.64,3.89,0.3544,0.3337
0.137,6250.0,737.9,736.07,-1.83,0.2353,0.2393
0.137,6640.0,390.13,389.27,-0.86,0.1893,0.1904
0.137,6820.0,246.69,246.72,0.03,0.1661,0.1661
0.137,6975.0,142.2,139.9,-2.3,0.144,0.1462
0.137,7140.0,60.65,55.09,-5.56,0.1205,0.1268
0.148,5210.0,1749.24,1759.66,10.42,0.4387,0.3756
0.148,5400.0,1562.08,1568.54,6.46,0.3832,0.3477
0.148,5560.0,1405.01,1408.75,3.74,0.3433,0.325
0.148,5685.0,1282.74,1284.84,2.1,0.3167,0.3076
0.148,5785.0,1185.44,1186.21,0.77,0.2974,0.2944
0.148,5910.0,1067.47,1064.25,-3.22,0.2774,0.2877
0.148,6070.0,911.2,910.24,-0.96,0.2554,0.258
0.148,6200.0,788.46,787.29,-1.16,0.2394,0.2419
0.148,6300.0,695.7,694.56,-1.14,0.2279,0.23
0.148,6395.0,609.22,608.19,-1.03,0.2171,0.2188
0.148,6495.0,519.97,519.53,-0.44,0.2059,0.2065
0.148,6595.0,433.52,433.58,0.06,0.1942,0.1942
0.148,6690.0,354.49,355.16,0.68,0.1829,0.1821
0.148,6790.0,275.63,276.61,0.98,0.1701,0.1691
0.148,6890.0,202.83,203.73,0.9,0.1568,0.156
0.148,6985.0,141.3,141.08,-0.22,0.1433,0.1435
0.148,7085.0,87.8,85.59,-2.21,0.1292,0.1314
0.148,7185.0,49.15,44.66,-4.49,0.1165,0.1218
0.148,7280.0,25.9,22.03,-3.87,0.1095,0.1156
0.148,7380.0,12.3,10.73,-1.57,0.108,0.1117
0.148,7480.0,5.8,6.06,0.26,0.1118,0.1108
0.148,7620.0,2.27,4.0,1.72,0.1247,0.1139
0.194,5250.0,1722.72,1730.41,7.68,0.3847,0.351
0.194,5725.0,1260.53,1260.79,0.26,0.2915,0.2907
0.194,5880.0,1111.64,1110.94,-0.7,0.2701,0.2718
0.194,6050.0,950.96,949.44,-1.52,0.25,0.253
0.194,6220.0,793.03,791.78,-1.25,0.2319,0.2339
0.194,6375.0,652.74,652.32,-0.42,0.2161,0.2167
0.194,6480.0,559.54,560.79,1.25,0.2054,0.2039
0.194,6575.0,479.27,480.29,1.02,0.1954,0.1943
0.194,6675.0,395.69,398.63,2.94,0.1845,0.1817
0.194,6775.0,318.25,320.57,2.31,0.1731,0.171
0.194,6870.0,247.63,250.74,3.1,0.1617,0.1591
0.194,6970.0,182.85,182.99,0.14,0.1491,0.149
0.194,7070.0,125.5,123.3,-2.2,0.1363,0.1381
0.194,7170.0,80.55,74.89,-5.66,0.1241,0.1293
0.194,7330.0,32.85,28.02,-4.83,0.1113,0.1176
0.194,7500.0,11.15,10.52,-0.63,0.1109,0.1124
0.23,5300.0,1684.57,1690.34,5.77,0.3539,0.3336
0.23,5570.0,1422.75,1424.28,1.53,0.3056,0.3013
0.23,5820.0,1183.41,1182.48,-0.93,0.2713,0.2734
0.23,6010.0,1004.57,1002.85,-1.72,0.2501,0.2532
0.23,6180.0,847.51,846.11,-1.4,0.2331,0.2352
0.23,6360.0,685.93,685.34,-0.59,0.2159,0.2166
0.23,6470.0,590.06,590.31,0.25,0.2053,0.205
0.23,6575.0,501.4,502.4,1.01,0.1949,0.194
0.23,6680.0,416.09,417.68,1.6,0.1842,0.1828
0.23,6780.0,338.93,340.6,1.67,0.1735,0.1721
0.23,6890.0,259.86,260.83,0.96,0.1612,0.1604
0.23,6990.0,194.95,194.23,-0.72,0.1495,0.1501
0.23,7100.0,133.3,129.71,-3.59,0.1364,0.1392
0.23,7235.0,75.3,68.44,-6.86,0.1218,0.1279
0.23,7350.0,42.35,35.86,-6.49,0.1135,0.1208
0.23,7470.0,21.85,18.49,-3.36,0.1109,0.1162
0.23,7650.0,7.65,8.78,1.13,0.1168,0.1136
0.271,5325.0,1671.38,1675.99,4.61,0.3342,0.321
0.271,5800.0,1217.5,1216.04,-1.45,0.268,0.2707
0.271,5970.0,1058.73,1056.49,-2.25,0.2502,0.2537
0.271,6125.0,916.42,914.22,-2.2,0.2355,0.2384
0.271,6290.0,768.01,766.92,-1.09,0.2205,0.2217
0.271,6460.0,620.5,620.61,0.11,0.2052,0.2051
0.271,6585.0,516.14,517.36,1.22,0.1936,0.1926
0.271,6690.0,432.69,434.0,1.32,0.1835,0.1825
0.271,6795.0,352.43,354.43,2.01,0.1731,0.1716
0.271,6900.0,278.17,279.4,1.23,0.1622,0.1613
0.271,7005.0,211.45,210.22,-1.23,0.1509,0.1517
0.271,7120.0,147.55,143.23,-4.32,0.1383,0.1414
0.271,7275.0,81.55,73.57,-7.98,0.123,0.1295
0.271,7450.0,36.4,30.23,-6.17,0.1133,0.1205
0.271,8000.0,2.33,7.38,5.06,0.1421,0.1185
0.309,5850.0,1184.39,1182.74,-1.64,0.2588,0.2613
0.309,6350.0,734.04,733.22,-0.81,0.2139,0.2147
0.309,6650.0,485.18,486.74,1.56,0.1877,0.1865
0.309,6820.0,356.95,358.67,1.73,0.1719,0.1707
0.309,6980.0,248.75,249.02,0.27,0.1561,0.1559
0.309,7200.0,129.95,124.34,-5.61,0.134,0.1379
0.309,8000.0,3.8,8.7,4.9,0.136,0.1183
0.364,5625.0,1413.51,1413.13,-0.37,0.2771,0.2777
0.364,6040.0,1032.35,1029.6,-2.75,0.238,0.241
0.364,6210.0,881.55,879.18,-2.37,0.224,0.2262
0.364,6375.0,740.08,738.03,-2.05,0.2107,0.2124
0.364,6530.0,610.59,610.63,0.05,0.1982,0.1982
0.364,6700.0,477.44,477.9,0.47,0.1842,0.1838
0.364,6870.0,352.69,354.33,1.65,0.1694,0.1684
0.364,7025.0,252.55,252.14,-0.41,0.1554,0.1556
0.364,7190.0,162.2,158.61,-3.59,0.1402,0.1425
0.364,7360.0,93.35,85.67,-7.68,0.1263,0.1317
0.364,7750.0,19.2,18.67,-0.53,0.118,0.1188
0.397,5375.0,1658.44,1661.66,3.22,0.3023,0.2966
0.397,5875.0,1193.83,1191.7,-2.13,0.2506,0.2531
0.397,6125.0,969.98,967.46,-2.51,0.2298,0.2322
0.397,6300.0,818.2,816.35,-1.84,0.2161,0.2177
