T,K,Type,Market,Spread,Model,Err,IV_Mkt,IV_Model
0.041,6640.0,PUT,27.8,0.4,23.75,-4.05,0.2063,0.1948
0.041,6810.0,PUT,60.1,0.6,58.32,-1.78,0.1762,0.1728
0.041,6925.0,CALL,69.3,0.6,73.1,3.8,0.1491,0.156
0.041,7030.0,CALL,22.85,0.3,28.91,6.06,0.1257,0.1397
0.043,6485.0,PUT,16.75,0.3,10.76,-5.99,0.2386,0.2126
0.043,6585.0,PUT,24.6,0.4,18.78,-5.82,0.2197,0.2012
0.043,6685.0,PUT,35.95,0.5,32.04,-3.91,0.1986,0.1891
0.043,6785.0,PUT,56.8,0.4,53.31,-3.49,0.183,0.1762
0.043,6890.0,CALL,95.1,0.6,94.91,-0.19,0.1616,0.1613
0.043,6990.0,CALL,42.0,0.4,44.96,2.96,0.1401,0.1458
0.043,7090.0,CALL,12.05,0.3,15.19,3.14,0.1216,0.1311
0.043,7190.0,CALL,1.77,0.15,3.59,1.82,0.1068,0.1216
0.052,5800.0,PUT,2.92,0.15,0.37,-2.55,0.3558,0.2783
0.052,6350.0,PUT,11.65,0.3,7.71,-3.94,0.2477,0.2262
0.052,6720.0,PUT,46.2,0.4,46.1,-0.1,0.1845,0.1843
0.052,6880.0,PUT,88.7,0.6,92.4,3.7,0.1565,0.1625
0.052,7050.0,CALL,24.2,0.4,30.91,6.71,0.1226,0.1366
0.054,5800.0,PUT,3.3,0.2,0.46,-2.84,0.353,0.2775
0.054,6375.0,PUT,13.65,0.3,9.76,-3.89,0.2416,0.2234
0.054,6730.0,PUT,51.9,0.6,50.5,-1.4,0.1855,0.1829
0.054,6900.0,CALL,96.55,0.5,101.64,5.09,0.1515,0.1594
0.054,7070.0,CALL,20.4,0.4,26.87,6.47,0.1197,0.1338
0.057,5800.0,PUT,3.7,0.2,0.57,-3.13,0.3504,0.2768
0.057,6375.0,PUT,14.95,0.3,10.8,-4.15,0.2413,0.2231
0.057,6760.0,PUT,60.25,0.5,59.75,-0.5,0.1798,0.1789
0.057,6930.0,CALL,81.15,0.5,87.37,6.22,0.1453,0.1548
0.057,7110.0,CALL,13.65,0.3,18.73,5.08,0.1158,0.1287
0.06,6125.0,PUT,8.45,0.3,3.63,-4.82,0.2872,0.2473
0.06,6625.0,PUT,39.6,0.4,35.56,-4.04,0.2042,0.1955
0.06,6850.0,PUT,88.3,0.6,88.41,0.11,0.1663,0.1665
0.06,7020.0,CALL,43.0,0.4,47.41,4.41,0.1336,0.141
0.063,5180.0,PUT,1.7,0.1,0.03,-1.67,0.4699,0.3311
0.063,5350.0,PUT,2.2,0.1,0.08,-2.12,0.4359,0.314
0.063,5520.0,PUT,2.9,0.1,0.19,-2.71,0.4025,0.2992
0.063,5680.0,PUT,3.75,0.1,0.44,-3.31,0.3703,0.2858
0.063,5850.0,PUT,5.1,0.2,1.07,-4.03,0.3372,0.2714
0.063,6025.0,PUT,7.2,0.2,2.55,-4.65,0.3032,0.2561
0.063,6160.0,PUT,10.15,0.3,4.86,-5.29,0.2801,0.2437
0.063,6260.0,PUT,13.05,0.3,7.72,-5.33,0.262,0.2341
0.063,6360.0,PUT,17.55,0.3,12.1,-5.45,0.2458,0.2242
0.063,6460.0,PUT,24.65,0.3,18.73,-5.92,0.2317,0.2138
0.063,6560.0,PUT,33.65,0.3,28.63,-5.02,0.2149,0.2029
0.063,6665.0,PUT,48.0,0.4,44.04,-3.96,0.1982,0.1906
0.063,6765.0,PUT,68.1,0.6,65.44,-2.66,0.1823,0.178
0.063,6865.0,PUT,95.7,0.6,95.89,0.19,0.164,0.1642
0.063,6965.0,CALL,72.4,0.4,74.08,1.68,0.1468,0.1493
0.063,7065.0,CALL,30.7,0.4,33.48,2.78,0.1293,0.1345
0.063,7165.0,CALL,9.25,0.3,11.68,2.43,0.1157,0.1233
0.063,7270.0,CALL,2.15,0.2,3.24,1.09,0.1098,0.118
0.071,5600.0,PUT,3.75,0.3,0.51,-3.24,0.3704,0.2909
0.071,6400.0,PUT,22.2,0.4,17.98,-4.22,0.2327,0.2195
0.071,6840.0,PUT,90.5,0.6,93.66,3.16,0.163,0.1675
0.071,7020.0,CALL,49.6,0.4,55.36,5.76,0.1323,0.141
0.074,5700.0,PUT,4.65,0.3,0.97,-3.68,0.3478,0.2823
0.074,6575.0,PUT,39.5,0.6,37.25,-2.25,0.2051,0.2005
0.074,6920.0,CALL,102.8,0.8,107.43,4.63,0.1496,0.1559
0.074,7200.0,CALL,7.85,0.3,10.75,2.9,0.1116,0.1209
0.076,6325.0,PUT,19.8,0.4,15.31,-4.49,0.242,0.2266
0.076,6830.0,PUT,93.15,0.7,94.49,1.34,0.1668,0.1686
0.076,7030.0,CALL,50.05,0.5,54.98,4.93,0.1323,0.1395
0.079,5800.0,PUT,6.65,0.3,1.98,-4.67,0.3279,0.2734
0.079,6775.0,PUT,79.6,0.8,80.43,0.83,0.1747,0.1759
0.079,7050.0,CALL,45.1,0.6,48.89,3.79,0.131,0.1367
0.082,5600.0,PUT,5.2,0.2,0.94,-4.26,0.3625,0.2893
0.082,6200.0,PUT,17.05,0.3,10.91,-6.14,0.2635,0.2382
0.082,6480.0,PUT,35.15,0.3,30.32,-4.83,0.2211,0.2104
0.082,6650.0,PUT,57.35,0.5,54.42,-2.93,0.1961,0.1913
0.082,6800.0,PUT,88.9,0.6,89.27,0.37,0.172,0.1725
0.082,6900.0,CALL,124.7,0.6,126.02,1.32,0.1569,0.1586
0.082,7000.0,CALL,69.15,0.5,71.95,2.8,0.1402,0.1439
0.082,7130.0,CALL,24.2,0.4,25.94,1.74,0.1237,0.1269
0.082,7400.0,CALL,1.32,0.15,1.64,0.32,0.1134,0.117
0.09,6475.0,PUT,37.1,0.6,33.9,-3.2,0.2171,0.2104
0.09,6975.0,CALL,84.7,0.6,90.37,5.67,0.1406,0.1476
0.093,6475.0,PUT,38.4,0.4,35.25,-3.15,0.2166,0.2103
0.101,5750.0,PUT,9.35,0.3,3.6,-5.75,0.3219,0.2754
0.101,6300.0,PUT,28.25,0.3,22.88,-5.37,0.2412,0.2273
0.101,6575.0,PUT,55.9,0.8,52.98,-2.92,0.2036,0.199
0.101,6740.0,PUT,86.0,0.8,85.6,-0.4,0.18,0.1795
0.101,6910.0,CALL,133.6,0.8,135.34,1.74,0.1549,0.1569
0.101,7075.0,CALL,52.15,1.5,53.0,0.85,0.133,0.1341
0.101,7325.0,CALL,5.6,0.2,6.35,0.75,0.1138,0.1168
0.109,6475.0,PUT,46.05,0.5,43.23,-2.82,0.2142,0.2093
0.109,6975.0,CALL,99.2,0.8,104.17,4.97,0.1423,0.1479
0.119,5300.0,PUT,6.7,0.2,1.34,-5.36,0.3832,0.3087
0.119,5670.0,PUT,10.7,0.2,4.56,-6.14,0.3234,0.2802
0.119,5830.0,PUT,14.2,0.2,7.52,-6.68,0.3016,0.2673
0.119,6000.0,PUT,19.35,0.3,12.57,-6.78,0.2782,0.2531
0.119,6175.0,PUT,27.0,0.4,20.93,-6.07,0.254,0.2377
0.119,6310.0,PUT,36.85,0.3,30.62,-6.23,0.2383,0.2252
0.119,6410.0,PUT,45.5,0.4,40.3,-5.2,0.2246,0.2154
0.119,6510.0,PUT,57.2,0.4,52.76,-4.44,0.2119,0.2051
0.119,6610.0,PUT,70.95,0.7,68.71,-2.24,0.1971,0.1941
0.119,6710.0,PUT,90.8,0.6,89.09,-1.71,0.1846,0.1825
0.119,6815.0,PUT,115.45,0.9,116.63,1.18,0.1682,0.1695
0.119,6915.0,CALL,144.2,1.0,145.86,1.66,0.1545,0.1562
0.119,7015.0,CALL,89.25,0.9,90.45,1.2,0.1413,0.1426
0.119,7115.0,CALL,48.55,0.7,48.87,0.32,0.1298,0.1302
0.119,7215.0,CALL,24.0,0.4,23.23,-0.77,0.1227,0.1213
0.119,7375.0,CALL,6.3,0.2,6.35,0.05,0.1161,0.1163
0.119,7550.0,CALL,1.6,0.1,1.56,-0.04,0.1185,0.118
0.139,5975.0,PUT,22.85,0.5,16.15,-6.7,0.2748,0.2538
0.139,6475.0,PUT,60.5,0.6,57.09,-3.41,0.2125,0.2076
0.139,6725.0,PUT,104.25,0.9,103.18,-1.07,0.1813,0.1801
0.139,6900.0,CALL,168.15,0.9,168.93,0.78,0.1575,0.1583
0.139,7075.0,CALL,75.2,0.8,74.84,-0.36,0.1362,0.1358
0.139,7425.0,CALL,6.25,0.5,6.47,0.22,0.1154,0.1162
0.15,5275.0,PUT,8.95,0.3,2.87,-6.08,0.3644,0.3079
0.15,5495.0,PUT,11.8,0.2,5.32,-6.48,0.3329,0.2913
0.15,5610.0,PUT,13.8,0.4,7.27,-6.53,0.317,0.2824
0.15,5735.0,PUT,16.85,0.3,10.14,-6.71,0.3012,0.2726
0.15,5840.0,PUT,19.8,0.4,13.31,-6.49,0.2874,0.2642
0.15,6000.0,PUT,26.15,0.3,19.95,-6.2,0.2679,0.2509
0.15,6160.0,PUT,34.65,0.5,29.53,-5.12,0.2479,0.237
0.15,6260.0,PUT,42.2,0.4,37.52,-4.68,0.2364,0.2279
0.15,6360.0,PUT,50.95,0.5,47.46,-3.49,0.224,0.2185
0.15,6460.0,PUT,62.45,0.5,59.81,-2.64,0.2122,0.2086
0.15,6565.0,PUT,77.75,0.5,75.95,-1.8,0.1999,0.1977
0.15,6665.0,PUT,95.0,0.8,95.07,0.07,0.1866,0.1867
0.15,6765.0,PUT,117.8,0.6,118.79,0.99,0.1741,0.1751
0.15,6865.0,PUT,145.95,0.7,148.4,2.45,0.1605,0.1628
0.15,6965.0,CALL,134.25,0.7,136.85,2.6,0.1476,0.15
0.15,7065.0,CALL,83.85,0.9,85.35,1.5,0.136,0.1375
0.15,7170.0,CALL,45.45,0.5,46.05,0.6,0.1257,0.1264
0.15,7270.0,CALL,23.0,0.4,23.45,0.45,0.1189,0.1196
0.15,7370.0,CALL,10.95,0.3,11.6,0.65,0.115,0.1167
0.15,7470.0,CALL,5.05,0.3,5.77,0.72,0.1135,0.1164
0.15,7600.0,CALL,2.05,0.2,2.37,0.32,0.1155,0.1181
0.196,5300.0,PUT,14.4,0.4,6.86,-7.54,0.3434,0.3025
0.196,5740.0,PUT,25.35,0.3,18.26,-7.09,0.2894,0.2691
0.196,5910.0,PUT,32.0,0.6,26.13,-5.87,0.2688,0.2554
0.196,6075.0,PUT,41.9,0.6,36.63,-5.27,0.2513,0.2417
0.196,6240.0,PUT,54.7,0.6,50.91,-3.79,0.2329,0.2273
0.196,6400.0,PUT,71.65,0.7,69.56,-2.09,0.2151,0.2125
0.196,6505.0,PUT,86.2,0.4,85.09,-1.11,0.2035,0.2023
0.196,6605.0,PUT,102.1,0.8,102.92,0.82,0.1913,0.1921
0.196,6705.0,PUT,123.5,0.6,124.37,0.87,0.1807,0.1815
0.196,6805.0,PUT,148.2,1.0,150.32,2.12,0.1685,0.1704
0.196,6905.0,CALL,204.3,0.6,203.55,-0.75,0.1594,0.1588
0.196,7005.0,CALL,145.0,0.8,143.51,-1.49,0.1484,0.1471
0.196,7110.0,CALL,91.55,0.9,91.26,-0.29,0.1357,0.1355
0.196,7240.0,CALL,47.25,0.7,45.91,-1.34,0.1255,0.124
0.196,7410.0,CALL,17.2,0.4,16.79,-0.41,0.1179,0.1171
0.196,7725.0,CALL,2.3,0.2,2.74,0.44,0.1163,0.1194
0.232,5430.0,PUT,21.5,0.4,13.79,-7.71,0.317,0.2903
0.232,5675.0,PUT,29.15,0.3,22.21,-6.94,0.2893,0.2718
0.232,5925.0,PUT,41.05,0.3,35.44,-5.61,0.2624,0.2521
0.232,6110.0,PUT,53.75,0.5,49.51,-4.24,0.2431,0.2369
0.232,6290.0,PUT,71.15,0.5,68.03,-3.12,0.225,0.2213
0.232,6430.0,PUT,88.7,0.6,86.73,-1.97,0.2106,0.2085
0.232,6540.0,PUT,105.4,0.6,104.76,-0.64,0.1986,0.198
0.232,6650.0,PUT,126.7,0.6,126.43,-0.27,0.1873,0.1871
0.232,6755.0,PUT,151.4,0.8,151.31,-0.09,0.1763,0.1762
0.232,6865.0,PUT,183.7,0.8,182.96,-0.74,0.165,0.1644
0.232,6980.0,CALL,181.45,0.9,180.23,-1.22,0.1527,0.1518
0.232,7090.0,CALL,123.1,0.8,120.66,-2.44,0.142,0.14
0.232,7215.0,CALL,72.3,0.6,68.91,-3.39,0.1315,0.1285
0.232,7350.0,CALL,36.6,0.4,34.22,-2.38,0.1232,0.1203
0.232,7470.0,CALL,18.65,0.5,17.94,-0.71,0.1186,0.1174
0.232,7650.0,CALL,6.55,0.5,7.0,0.45,0.1162,0.1177
0.273,5350.0,PUT,24.75,0.5,16.79,-7.96,0.3176,0.2935
0.273,5810.0,PUT,43.3,0.6,37.15,-6.15,0.2698,0.259
0.273,5975.0,PUT,54.05,0.5,48.75,-5.3,0.2538,0.246
0.273,6150.0,PUT,68.65,0.5,64.64,-4.01,0.2366,0.2317
